scan,mol_name,Reference Energy,wb97m Energy
0.9,AcNH2AcNH2090,-14.93,-418.7443758
0.95,AcNH2AcNH2095,-16.03,-418.7462338
1,AcNH2AcNH2100,-16.26,-418.746689
1.05,AcNH2AcNH2105,-15.94,-418.7462265
1.1,AcNH2AcNH2110,-15.26,-418.7451949
1.25,AcNH2AcNH2125,-12.42,-418.7407114
0.9,AcNH2Uracil090,-17.7,-624.5019453
0.95,AcNH2Uracil095,-18.89,-624.5039504
1,AcNH2Uracil100,-19.19,-624.5045221
1.05,AcNH2Uracil105,-18.9,-624.5041238
1.1,AcNH2Uracil110,-18.22,-624.5030975
1.25,AcNH2Uracil125,-15.21,-624.4983437
1.5,AcNH2Uracil150,-10.23,-624.4904068
2,AcNH2Uracil200,-4.65,-624.4815091
0.9,AcOHAcOH090,-17.45,-458.5133666
0.95,AcOHAcOH095,-18.79,-458.515539
1,AcOHAcOH100,-19.09,-458.5160509
1.05,AcOHAcOH105,-18.72,-458.5154774
1.1,AcOHAcOH110,-17.94,-458.5142193
1.25,AcOHAcOH125,-14.56,-458.5087366
1.5,AcOHAcOH150,-9.21,-458.499987
2,AcOHAcOH200,-3.59,-458.4908407
0.9,AcOHUracil090,-17.9,-644.384857
0.95,AcOHUracil095,-19.19,-644.386982
1,AcOHUracil100,-19.49,-644.3875398
1.05,AcOHUracil105,-19.15,-644.3870463
1.1,AcOHUracil110,-18.41,-644.385883
1.25,AcOHUracil125,-15.14,-644.3806648
1.5,AcOHUracil150,-9.86,-644.3721566
2,AcOHUracil200,-4.15,-644.3629841
0.9,BenzeneAcNH2NHpi090,-3.79,-441.7745519
0.95,BenzeneAcNH2NHpi095,-4.27,-441.7753093
1,BenzeneAcNH2NHpi100,-4.36,-441.7754193
1.05,BenzeneAcNH2NHpi105,-4.23,-441.7751486
1.1,BenzeneAcNH2NHpi110,-3.97,-441.7746776
1.25,BenzeneAcNH2NHpi125,-2.97,-441.7729597
1.5,BenzeneAcNH2NHpi150,-1.65,-441.7707989
2,BenzeneAcNH2NHpi200,-0.48,-441.7689613
0.9,BenzeneAcOH090,-2.73,-461.6564631
0.95,BenzeneAcOH095,-3.6,-461.6577515
1,BenzeneAcOH100,-3.8,-461.6579311
1.05,BenzeneAcOH105,-3.65,-461.657554
1.1,BenzeneAcOH110,-3.34,-461.6569461
1.25,BenzeneAcOH125,-2.24,-461.6550639
1.5,BenzeneAcOH150,-1.02,-461.6531404
2,BenzeneAcOH200,-0.26,-461.6518528
0.9,BenzeneAcOHOHpi090,-3.97,-461.6582407
0.95,BenzeneAcOHOHpi095,-4.58,-461.6592055
1,BenzeneAcOHOHpi100,-4.7,-461.6593477
1.05,BenzeneAcOHOHpi105,-4.55,-461.659023
1.1,BenzeneAcOHOHpi110,-4.25,-461.6584646
1.25,BenzeneAcOHOHpi125,-3.13,-461.6564835
1.5,BenzeneAcOHOHpi150,-1.7,-461.6541195
2,BenzeneAcOHOHpi200,-0.55,-461.6522385
0.9,BenzeneBenzenepipi090,-0.23,-464.8169314
0.95,BenzeneBenzenepipi095,-2.07,-464.8183669
1,BenzeneBenzenepipi100,-2.74,-464.8187163
1.05,BenzeneBenzenepipi105,-2.8,-464.8185178
1.1,BenzeneBenzenepipi110,-2.58,-464.8180817
1.25,BenzeneBenzenepipi125,-1.54,-464.816619
1.5,BenzeneBenzenepipi150,-0.49,-464.8151361
2,BenzeneBenzenepipi200,-0.06,-464.8141367
0.9,BenzeneBenzeneTS090,-1.64,-464.8147656
0.95,BenzeneBenzeneTS095,-2.58,-464.8175947
1,BenzeneBenzeneTS100,-2.87,-464.8184766
1.05,BenzeneBenzeneTS105,-2.82,-464.8184173
1.1,BenzeneBenzeneTS110,-2.6,-464.8179588
1.25,BenzeneBenzeneTS125,-1.77,-464.8162421
1.5,BenzeneBenzeneTS150,-0.83,-464.8146582
2,BenzeneBenzeneTS200,-0.22,-464.8138976
0.9,BenzeneCyclopentane090,-2.16,-429.0942616
0.95,BenzeneCyclopentane095,-3.24,-429.0958251
1,BenzeneCyclopentane100,-3.57,-429.096131
1.05,BenzeneCyclopentane105,-3.47,-429.0957653
1.1,BenzeneCyclopentane110,-3.17,-429.0951162
1.25,BenzeneCyclopentane125,-2.07,-429.0931619
1.5,BenzeneCyclopentane150,-0.9,-429.0913278
2,BenzeneCyclopentane200,-0.19,-429.0901538
0.9,BenzeneEthene090,-0.26,-311.0451555
0.95,BenzeneEthene095,-1.13,-311.0463828
1,BenzeneEthene100,-1.41,-311.0466804
1.05,BenzeneEthene105,-1.4,-311.0465379
1.1,BenzeneEthene110,-1.26,-311.0462285
1.25,BenzeneEthene125,-0.69,-311.0452725
1.5,BenzeneEthene150,-0.17,-311.0444917
2,BenzeneEthene200,0.01,-311.0441349
0.9,BenzeneEthyneCHpi090,-1.87,-309.7954284
0.95,BenzeneEthyneCHpi095,-2.65,-309.7965903
1,BenzeneEthyneCHpi100,-2.86,-309.7968236
1.05,BenzeneEthyneCHpi105,-2.79,-309.7965767
1.1,BenzeneEthyneCHpi110,-2.58,-309.7961203
1.25,BenzeneEthyneCHpi125,-1.79,-309.7946719
1.5,BenzeneEthyneCHpi150,-0.89,-309.7931775
2,BenzeneEthyneCHpi200,-0.27,-309.7920948
0.9,BenzeneMeNH2NHpi090,-2.51,-328.3313525
0.95,BenzeneMeNH2NHpi095,-3.09,-328.3321521
1,BenzeneMeNH2NHpi100,-3.23,-328.3322512
1.05,BenzeneMeNH2NHpi105,-3.12,-328.3319343
1.1,BenzeneMeNH2NHpi110,-2.86,-328.3314116
1.25,BenzeneMeNH2NHpi125,-1.95,-328.329759
1.5,BenzeneMeNH2NHpi150,-0.94,-328.3280775
2,BenzeneMeNH2NHpi200,-0.26,-328.3268924
0.9,BenzeneMeOHOHpi090,-3.45,-348.2100966
0.95,BenzeneMeOHOHpi095,-4.05,-348.210975
1,BenzeneMeOHOHpi100,-4.19,-348.2111027
1.05,BenzeneMeOHOHpi105,-4.07,-348.2108028
1.1,BenzeneMeOHOHpi110,-3.8,-348.2102874
1.25,BenzeneMeOHOHpi125,-2.8,-348.2084774
1.5,BenzeneMeOHOHpi150,-1.53,-348.2063519
2,BenzeneMeOHOHpi200,-0.52,-348.2046415
0.9,BenzeneNeopentane090,-1.86,-430.3071379
0.95,BenzeneNeopentane095,-2.68,-430.3082277
1,BenzeneNeopentane100,-2.89,-430.3083646
1.05,BenzeneNeopentane105,-2.8,-430.308038
1.1,BenzeneNeopentane110,-2.57,-430.3075262
1.25,BenzeneNeopentane125,-1.7,-430.305998
1.5,BenzeneNeopentane150,-0.77,-430.3045351
2,BenzeneNeopentane200,-0.19,-430.3035962
0.9,BenzenePeptideNHpi090,-3.75,-481.1058214
0.95,BenzenePeptideNHpi095,-4.96,-481.1076115
1,BenzenePeptideNHpi100,-5.28,-481.1079404
1.05,BenzenePeptideNHpi105,-5.14,-481.1075372
1.1,BenzenePeptideNHpi110,-4.78,-481.1068077
1.25,BenzenePeptideNHpi125,-3.41,-481.104365
1.5,BenzenePeptideNHpi150,-1.8,-481.1017185
2,BenzenePeptideNHpi200,-0.62,-481.0997222
0.9,BenzenePyridinepipi090,-0.73,-480.8653209
0.95,BenzenePyridinepipi095,-2.69,-480.8667699
1,BenzenePyridinepipi100,-3.37,-480.8671011
