mol_id,conf_id,scan,wb97m
1,1,-165,10.410727
1,2,-150,9.76308425
1,3,-135,9.1879805
1,4,-120,8.647201
1,5,-105,8.0097865
1,6,-90,7.20250775
1,7,-75,5.82025075
1,8,-60,3.93310725
1,9,-45,2.18765325
1,10,-30,0.9361045
1,11,-15,0.223139
1,12,0,0
1,13,15,0.223139
1,14,30,0.93579075
1,15,45,2.186461
1,16,60,3.92833825
1,17,75,5.815419
1,18,90,7.20275875
1,19,105,8.0097865
1,20,120,8.64713825
1,21,135,9.1866
1,22,150,9.76308425
1,23,165,10.41078975
1,24,180,11.0305715
2,1,-165,3.265259
2,2,-150,1.92811925
2,3,-135,0.82146025
2,4,-120,0.2011765
2,5,-105,0.0146835
2,6,-90,0
2,7,-75,0.0443015
2,8,-60,0.35434925
2,9,-45,1.11437725
2,10,-30,2.262765
2,11,-15,3.437194
2,12,0,3.94816725
2,13,15,3.43976675
2,14,30,2.2638945
2,15,45,1.11425175
2,16,60,0.354663
2,17,75,0.0443015
2,18,90,0.00056475
2,19,105,0.014558
2,20,120,0.2011765
2,21,135,0.8206445
2,22,150,1.92661325
2,23,165,3.265259
2,24,180,3.94917125
3,1,-165,0.90780425
3,2,-150,0.11113025
3,3,-135,0.0242215
3,4,-120,0.16258525
3,5,-105,0.76222425
3,6,-90,1.79910525
3,7,-75,0.78230425
3,8,-60,0.13723425
3,9,-45,0.0051455
3,10,-30,0.08163775
3,11,-15,0.8768685
3,12,0,0.581567
3,13,15,0.88797525
3,14,30,0.0817005
3,15,45,0
3,16,60,0.13723425
3,17,75,0.78945775
3,18,90,1.81353775
3,19,105,0.74201875
3,20,120,0.15668675
3,21,135,0.0247235
3,22,150,0.10836925
3,23,165,0.90265875
3,24,180,0.59744275
4,1,-165,0.64864675
4,2,-150,0.40818875
4,3,-135,0.13554
4,4,-120,0
4,5,-105,0.07599025
4,6,-90,0.292415
4,7,-75,0.64111675
4,8,-60,1.58261775
4,9,-45,2.97027125
4,10,-30,3.7646235
4,11,-15,3.51406275
4,12,0,3.3685455
4,13,15,3.5131215
4,14,30,3.76368225
4,15,45,2.97027125
4,16,60,1.58349625
4,17,75,0.64111675
4,18,90,0.292415
4,19,105,0.07599025
4,20,120,0
4,21,135,0.13554
4,22,150,0.40818875
4,23,165,0.64864675
4,24,180,0.7280255
5,1,-165,3.5791345
5,2,-150,3.6102585
5,3,-135,3.429413
5,4,-120,2.9724675
5,5,-105,2.4353275
5,6,-90,1.8156085
5,7,-75,1.135273
5,8,-60,0.52208
5,9,-45,0.13911675
5,10,-30,0.01838575
5,11,-15,0.01738175
5,12,0,0
5,13,15,0.01650325
5,14,30,0.01838575
5,15,45,0.13773625
5,16,60,0.52208
5,17,75,1.13533575
5,18,90,1.816738
5,19,105,2.4360805
5,20,120,2.97184
5,21,135,3.42972675
5,22,150,3.60831325
5,23,165,3.581017
5,24,180,3.4772285
6,1,-165,1.074029
6,2,-150,0.59631325
6,3,-135,1.46364375
6,4,-120,1.42762525
6,5,-105,2.35795675
6,6,-90,1.93765725
6,7,-75,1.39599925
6,8,-60,0.68272
6,9,-45,0.16697775
6,10,-30,0.00094125
6,11,-15,0.310989
6,12,0,0.94269325
6,13,15,0.31105175
6,14,30,0
6,15,45,0.1662875
6,16,60,0.68366125
6,17,75,1.396062
6,18,90,1.9300645
6,19,105,2.3592745
6,20,120,1.43402575
6,21,135,0.78481425
6,22,150,0.59417975
6,23,165,1.07409175
6,24,180,1.9147535
7,1,-165,4.12148275
7,2,-150,4.87159625
7,3,-135,5.65797925
7,4,-120,5.76547
7,5,-105,4.78399725
7,6,-90,3.00026575
7,7,-75,1.1474465
7,8,-60,0
7,9,-45,0.0681465
7,10,-30,1.28455525
7,11,-15,3.0896845
7,12,0,4.245163
7,13,15,3.34225325
7,14,30,1.58086075
7,15,45,0.52465275
7,16,60,0.59945075
7,17,75,1.87076575
7,18,90,3.7337505
7,19,105,5.22663575
7,20,120,5.80531625
7,21,135,5.907536
7,22,150,5.04930425
7,23,165,4.517749
7,24,180,3.7089015
8,1,-165,0.620974
8,2,-150,2.11197675
8,3,-135,3.93649575
8,4,-120,5.4935115
8,5,-105,6.88995
8,6,-90,7.83992225
8,7,-75,8.1169635
8,8,-60,7.6418205
8,9,-45,6.39014625
8,10,-30,5.00387325
8,11,-15,4.05722675
8,12,0,3.794116
8,13,15,4.056411
8,14,30,5.014227
8,15,45,6.3903345
8,16,60,7.63987525
8,17,75,8.113826
8,18,90,7.840487
