smile,scan,qm_relative_energy,wb97m_relative_energy
CCCC(F)(F)F,-170,0.26,0.220847847
CCCC(F)(F)F,-160,0.949,0.871842031
CCCC(F)(F)F,-150,1.903,1.749033645
CCCC(F)(F)F,-140,2.885,2.60895971
CCCC(F)(F)F,-130,3.648,3.235246801
CCCC(F)(F)F,-120,3.928,3.450103999
CCCC(F)(F)F,-110,3.622,3.209810896
CCCC(F)(F)F,-100,2.857,2.566438737
CCCC(F)(F)F,-90,1.869,1.699545421
CCCC(F)(F)F,-80,0.927,0.834998503
CCCC(F)(F)F,-70,0.252,0.210442056
CCCC(F)(F)F,-60,0,0
CCCC(F)(F)F,-50,0.251,0.217844381
CCCC(F)(F)F,-40,0.929,0.855643916
CCCC(F)(F)F,-30,1.872,1.721951411
CCCC(F)(F)F,-20,2.856,2.580940263
CCCC(F)(F)F,-10,3.633,3.220112361
CCCC(F)(F)F,0,3.933,3.451675147
CCCC(F)(F)F,10,3.631,3.219651576
CCCC(F)(F)F,20,2.86,2.582563695
CCCC(F)(F)F,30,1.872,1.722390489
CCCC(F)(F)F,40,0.929,0.855274308
CCCC(F)(F)F,50,0.251,0.21759034
CCCC(F)(F)F,60,0.002,0.000354021
CCCC(F)(F)F,70,0.252,0.209873065
CCCC(F)(F)F,80,0.929,0.835665274
CCCC(F)(F)F,90,1.869,1.699709602
CCCC(F)(F)F,100,2.853,2.564012964
CCCC(F)(F)F,110,3.624,3.210259003
CCCC(F)(F)F,120,3.93,3.450491157
CCCC(F)(F)F,130,3.646,3.234597457
CCCC(F)(F)F,140,2.885,2.609416444
CCCC(F)(F)F,150,1.901,1.7484909
CCCC(F)(F)F,160,0.951,0.87304172
CCCC(F)(F)F,170,0.26,0.220586653
CCCC(F)(F)F,180,0.003,0.001465018
CCc1ccccc1,-170,1.156,0.788267766
CCc1ccccc1,-160,1.217,0.836142029
CCc1ccccc1,-150,1.228,0.876695106
CCc1ccccc1,-140,1.091,0.795215318
CCc1ccccc1,-130,0.796,0.571844633
CCc1ccccc1,-120,0.477,0.321503824
CCc1ccccc1,-110,0.227,0.130497396
CCc1ccccc1,-100,0.07,0.033444085
CCc1ccccc1,-90,0,0
CCc1ccccc1,-80,0.032,0.021788764
CCc1ccccc1,-70,0.186,0.130561898
CCc1ccccc1,-60,0.464,0.350328781
CCc1ccccc1,-50,0.805,0.603883942
CCc1ccccc1,-40,1.072,0.766972996
CCc1ccccc1,-30,1.188,0.82056348
CCc1ccccc1,-20,1.169,0.784736248
CCc1ccccc1,-10,1.103,0.728505614
CCc1ccccc1,0,1.065,0.700556387
CCc1ccccc1,10,1.103,0.728550332
CCc1ccccc1,20,1.169,0.784653447
CCc1ccccc1,30,1.188,0.820564012
CCc1ccccc1,40,1.072,0.767060418
CCc1ccccc1,50,0.805,0.603977408
CCc1ccccc1,60,0.464,0.350187092
CCc1ccccc1,70,0.186,0.130524223
CCc1ccccc1,80,0.032,0.021653763
CCc1ccccc1,90,0,0.000263729
CCc1ccccc1,100,0.07,0.03339771
CCc1ccccc1,110,0.227,0.13065589
CCc1ccccc1,120,0.477,0.321618762
CCc1ccccc1,130,0.796,0.571834057
CCc1ccccc1,140,1.091,0.795225674
CCc1ccccc1,150,1.228,0.876751963
CCc1ccccc1,160,1.217,0.83622645
CCc1ccccc1,170,1.156,0.788198592
CCc1ccccc1,180,1.072,0.708197038
CC(=O)Nc1ccco1,-170,5.689,5.697758109
CC(=O)Nc1ccco1,-160,5.107,5.172158131
CC(=O)Nc1ccco1,-150,4.426,4.509914489
CC(=O)Nc1ccco1,-140,3.795,3.875771518
CC(=O)Nc1ccco1,-130,3.283,3.360644802
CC(=O)Nc1ccco1,-120,2.923,2.986119611
CC(=O)Nc1ccco1,-110,2.708,2.759716427
CC(=O)Nc1ccco1,-100,2.616,2.654600361
CC(=O)Nc1ccco1,-90,2.606,2.634267149
CC(=O)Nc1ccco1,-80,2.62,2.645022895
CC(=O)Nc1ccco1,-70,2.583,2.59784207
CC(=O)Nc1ccco1,-60,2.379,2.397568042
CC(=O)Nc1ccco1,-50,1.945,1.964141707
CC(=O)Nc1ccco1,-40,1.378,1.395776221
CC(=O)Nc1ccco1,-30,0.875,0.846386775
CC(=O)Nc1ccco1,-20,0.444,0.408264586
CC(=O)Nc1ccco1,-10,0.141,0.124828112
CC(=O)Nc1ccco1,0,0,0
CC(=O)Nc1ccco1,10,0.141,0.124828112
CC(=O)Nc1ccco1,20,0.444,0.408260919
CC(=O)Nc1ccco1,30,0.875,0.846386776
CC(=O)Nc1ccco1,40,1.378,1.39577622
CC(=O)Nc1ccco1,50,1.945,1.964100976
CC(=O)Nc1ccco1,60,2.379,2.397568042
CC(=O)Nc1ccco1,70,2.583,2.597842069
CC(=O)Nc1ccco1,80,2.62,2.645022895
CC(=O)Nc1ccco1,90,2.606,2.634267148
CC(=O)Nc1ccco1,100,2.616,2.654572086
CC(=O)Nc1ccco1,110,2.708,2.759735177
CC(=O)Nc1ccco1,120,2.923,2.986101774
CC(=O)Nc1ccco1,130,3.283,3.360644803
CC(=O)Nc1ccco1,140,3.795,3.875774649
CC(=O)Nc1ccco1,150,4.426,4.509920457
CC(=O)Nc1ccco1,160,5.107,5.172162575
CC(=O)Nc1ccco1,170,5.689,5.697758109
CC(=O)Nc1ccco1,180,5.943,5.875298304
CC(=O)Nc1ccccn1,-170,0.09,0.087909681
CC(=O)Nc1ccccn1,-160,0.372,0.352979398
CC(=O)Nc1ccccn1,-150,0.825,0.794600845
CC(=O)Nc1ccccn1,-140,1.454,1.433130701
CC(=O)Nc1ccccn1,-130,2.261,2.28018499
CC(=O)Nc1ccccn1,-120,3.259,3.32077357
CC(=O)Nc1ccccn1,-110,4.421,4.510243922
CC(=O)Nc1ccccn1,-100,5.654,5.742064301
CC(=O)Nc1ccccn1,-90,6.805,6.87407055
CC(=O)Nc1ccccn1,-80,7.239,7.001365338
CC(=O)Nc1ccccn1,-70,6.369,6.119312296
CC(=O)Nc1ccccn1,-60,5.59,5.308044492
CC(=O)Nc1ccccn1,-50,5.085,4.658180625
CC(=O)Nc1ccccn1,-40,4.782,4.212888801
CC(=O)Nc1ccccn1,-30,4.642,3.946527449
CC(=O)Nc1ccccn1,-20,4.622,3.822717207
CC(=O)Nc1ccccn1,-10,4.683,3.781858961
CC(=O)Nc1ccccn1,0,4.75,3.756761027
CC(=O)Nc1ccccn1,10,4.683,3.781842117
CC(=O)Nc1ccccn1,20,4.622,3.822697982
CC(=O)Nc1ccccn1,30,4.642,3.946527449
CC(=O)Nc1ccccn1,40,4.782,4.2128888
CC(=O)Nc1ccccn1,50,5.085,4.658211292
CC(=O)Nc1ccccn1,60,5.59,5.308040761
