mol_id,conf_id,scan,ResFF Energy,Reference Energy,scan_group_id,u_qm_rel,wb97m
302.0,1.0,-165.0,0.36035156,0.21875,1,0.21875,0.29210125
302.0,2.0,-150.0,0.0,0.0,1,0.0,0.0
302.0,3.0,-135.0,0.20605469,0.28125,1,0.28125,0.1959055
302.0,4.0,-120.0,0.8691406,1.0625,1,1.0625,0.84831725
302.0,5.0,-105.0,1.5595703,1.9375,1,1.9375,1.6426695
302.0,6.0,-90.0,1.7919922,2.3125,1,2.3125,1.99400675
302.0,7.0,-75.0,1.5576172,1.96875,1,1.96875,1.65578425
302.0,8.0,-60.0,0.88183594,1.09375,1,1.09375,0.8776215
302.0,9.0,-45.0,0.2109375,0.3125,1,0.3125,0.214354
302.0,10.0,-30.0,0.0009765625,0.0,1,0.0,0.00307475
302.0,11.0,-15.0,0.36523438,0.21875,1,0.21875,0.29461125
302.0,12.0,0.0,0.7167969,0.4375,1,0.4375,0.57610775
302.0,13.0,15.0,0.36523438,0.21875,1,0.21875,0.29461125
302.0,14.0,30.0,0.0,0.0,1,0.0,0.00307475
302.0,15.0,45.0,0.21191406,0.3125,1,0.3125,0.21378925
302.0,16.0,60.0,0.88671875,1.09375,1,1.09375,0.88144925
302.0,17.0,75.0,1.5576172,1.96875,1,1.96875,1.65578425
302.0,18.0,90.0,1.7919922,2.3125,1,2.3125,1.99413225
302.0,19.0,105.0,1.5595703,1.9375,1,1.9375,1.6426695
302.0,20.0,120.0,0.86621094,1.0625,1,1.0625,0.84831725
302.0,21.0,135.0,0.20605469,0.28125,1,0.28125,0.1959055
302.0,22.0,150.0,0.0,0.0,1,0.0,0.0
302.0,23.0,165.0,0.36035156,0.21875,1,0.21875,0.29210125
302.0,24.0,180.0,0.7158203,0.4375,1,0.4375,0.57836675
66.0,1.0,-165.0,1.6455078,2.4375,2,2.4375,2.202525
66.0,2.0,-150.0,1.4111328,2.125,2,2.125,1.9709775
66.0,3.0,-135.0,1.2822266,1.625,2,1.625,1.532355
66.0,4.0,-120.0,0.9707031,1.0,2,1.0,0.89105
