mm_relative_energy,ccsd(t)_relative_energy
11.888431,15.34
0.6973059,0.29999924
3.1013896,1.5900002
0.1915197,0.34000015
3.610013,4.3499994
0.8366314,1.0799999
7.6508107,9.63
0.0,0.0
1.9601103,0.3599999
0.87022924,1.3900001
0.07352025,0.0
0.13512431,0.47000003
2.6148314,3.24
0.58087647,0.00999999
1.8387183,2.47
0.0,0.19000006
3.8402717,4.02
0.0,0.09000015
2.1962862,1.9200001
0.14385678,0.0
0.22436719,0.6199999
0.8918598,0.52
5.4517455,6.07
0.474547,0.17000008
0.0,0.74
3.5527315,2.66
0.08504896,0.13999987
0.38987368,0.0
0.78515935,0.119999886
1.202516,0.3900001
2.3287027,1.3900001
4.565037,3.67
0.005080108,0.0
0.0,0.059999943
2.84501,3.7600002
0.33298594,0.45000005
2.2087967,2.8400002
0.41641024,0.4000001
0.17628668,0.13999987
1.1758718,1.3600001
0.73465455,0.4699998
0.11258475,0.0
1.8175591,1.6100001
0.3861201,0.17000008
3.1714718,3.23
0.20553468,0.4699998
0.0,0.059999943
4.4668984,4.74
0.54217935,0.44000006
0.041397594,0.069999695
4.771772,4.88
3.2072744,3.2299998
0.0,0.0
0.21260782,0.14999962
1.6838639,1.5799999
0.59749985,0.50999975
2.4817736,0.6199999
1.7530653,0.23999977
0.0,0.4499998
1.0426042,0.0
7.0816298,4.25
4.524843,2.0900002
0.42056584,0.019999504
10.208276,6.64
1.0270972,1.42
0.83338934,1.24
0.08512554,0.14999998
0.46164435,0.71999997
1.4391366,1.15
0.039692674,0.0
0.0,0.00999999
0.38663888,0.27999997
1.9323338,1.28
0.24632508,0.0
0.013179835,0.1400001
0.0,0.72
0.96857566,0.37000012
2.8846152,2.29
0.5920277,0.11000013
3.593974,2.97
5.6366396,4.1
7.626246,6.05
0.7124159,0.0
0.0,0.5
0.2332975,0.05000019
1.3006161,0.21999979
3.6236265,2.0300002
1.9184811,0.59000015
0.43690753,0.31999993
0.35330275,0.23000002
0.9146419,0.72
0.009839291,0.029999971
1.8407824,1.63
1.4614848,1.27
0.0,0.0
0.15072568,0.09000003
8.94105,0.32999992
0.0,0.8699999
0.27103212,1.68
4.094678,0.049999952
0.55572516,2.3899999
0.23730348,0.25
1.8015032,0.0
0.7246533,0.089999914
4.4263935,4.5299997
8.689344,9.88
1.492595,1.6399994
12.957261,15.5
0.15315905,0.29999924
0.49807623,0.37000084
0.0,0.0
1.3438003,1.1499996
0.03525624,0.07000005
0.0,0.0
0.8532485,0.77
0.21441302,0.23000002
1.5089562,1.33
1.9165428,1.65
1.4853208,0.62
0.32340193,0.120000005
4.9900484,4.6600003
0.64499867,0.14000034
0.2022379,0.0
1.1556025,0.5
0.0,0.32000017
2.537337,1.8700001
3.9361284,3.4800003
0.43128768,1.5300002
6.7038536,6.2799997
2.628593,2.94
5.023472,5.0299997
7.5384502,3.07
1.9494048,0.63999987
0.0,0.23000002
0.16909868,0.0
0.48211065,0.84000015
3.871451,3.88
2.8906288,3.1100001
0.2707373,0.59000015
0.07778072,0.0
0.98020196,0.16000009
1.488891,1.8400002
3.7585506,1.0800002
0.0,0.21000004
2.286237,0.23000002
3.0680075,0.5999999
5.080221,1.96
7.3768067,3.9
9.719678,5.7400002
1.4739238,0.0
0.68294406,0.010000229
0.0,0.39000034
0.0,0.0
1.2359177,1.26
0.3675274,0.35000014
0.10012153,0.089999914
0.6289305,0.52
2.357389,2.47
0.12782325,0.120000124
3.3636844,3.48
1.0694557,1.0100002
3.3642204,1.4800005
0.0,0.0
12.437884,13.85
8.24092,8.83
4.0764422,4.0300007
0.6830904,0.2800007
0.30196193,0.3199997
1.19919,1.4300001
1.3321444,1.3000002
1.5994828,0.36000013
0.6753845,0.3800001
2.8577194,3.25
2.2665086,2.68
3.3162565,2.67
0.2320147,0.26999998
0.7684384,0.08000016
3.8855643,1.3100002
0.055005938,0.03000021
0.58399,0.1400001
2.1481965,2.3500001
0.0,0.0
2.7456763,3.0700002
0.83054477,0.71000004
1.0164692,0.5199995
0.5351755,0.17000008
0.31176293,0.5999994
0.0,0.09000015
2.5438254,1.96
0.15468436,0.0
6.8803134,6.85
4.5466766,4.2
6.483341,6.72
0.0,0.3899994
9.199831,8.83
0.20836832,0.0
3.1050146,3.7499995
0.50423265,1.1300001
1.9303973,0.3199997
6.750293,1.9599996
0.14593549,0.3800001
0.0052113957,0.17000008
2.5317774,2.73
1.0571567,0.20000005
0.26611122,0.0
1.822001,2.1200001
0.0,0.01999998
0.8035141,1.1100001
0.12652496,0.32000005
1.0788902,1.5
0.0096715335,0.13
1.4175216,1.87
0.5816195,0.9
1.0978248,0.33000004
0.0,0.0
0.24817404,0.01999998
0.7514512,0.3900001
3.9833791,3.88
0.41943166,0.13000011
0.14435275,0.0
0.13187312,0.5700002
1.7389542,1.3900001
0.0,0.09000015
2.9169996,2.71
0.013638887,0.059999943
2.2528584,0.30999994
0.5910362,1.06
0.7891253,0.049999952
0.0,0.16999996
0.20342177,0.0
0.8425936,1.38
0.24137944,0.59
0.0,0.24000025
1.7959514,2.4
3.709551,1.0100002
0.14324227,0.0
4.2577724,4.63
1.0993237,0.1500001
3.3244183,3.8600001
0.30906606,0.7600002
2.4689798,0.0
1.670101,0.26
0.24993913,0.5700002
0.06913396,0.32000017
2.507874,2.9700003
13.000937,1.3500001
3.433285,2.83
0.8960173,0.98
3.0705261,3.14
3.2948678,3.7800002
0.80697864,0.93000007
2.2968762,1.97
1.6385446,0.70000005
4.3801475,1.6200001
3.5860276,3.8700001
