scan,mol_name,wb97m_energy,MACE_energy,wb97m_relative_energy,MACE_relative_energy
0.9,AcNH2AcNH2090,-418.7443758,-263215.3309,1.45153300000203,1.6092000000062399
0.95,AcNH2AcNH2095,-418.7462338,-263216.6819,0.28563799998508443,0.2581999999820255
1,AcNH2AcNH2100,-418.746689,-263216.9401,0,0
1.05,AcNH2AcNH2105,-418.7462265,-263216.503,0.29021875001632225,0.437099999981001
1.1,AcNH2AcNH2110,-418.7451949,-263215.7414,0.9375477500013574,1.1987000000081025
1.25,AcNH2AcNH2125,-418.7407114,-263212.5941,3.7509439999963945,4.346000000019558
0.9,AcNH2Uracil090,-624.5019453,-392550.9412,1.616942000026711,1.443700000003446
0.95,AcNH2Uracil095,-624.5039504,-392552.1786,0.3587417500145307,0.20630000001983717
1,AcNH2Uracil100,-624.5045221,-392552.3849,0,0
1.05,AcNH2Uracil105,-624.5041238,-392551.9746,0.24993325001815947,0.41029999998863786
1.1,AcNH2Uracil110,-624.5030975,-392551.2057,0.8939365000401267,1.1792000000132248
1.25,AcNH2Uracil125,-624.4983437,-392547.6399,3.8769460000420963,4.744999999995343
1.5,AcNH2Uracil150,-624.4904068,-392541.8182,8.857350750044759,10.566700000024866
2,AcNH2Uracil200,-624.4815091,-392536.315,14.440657499994813,16.069900000002235
0.9,AcOHAcOH090,-458.5133666,-288213.3771,1.6843982499990773,1.6307000000379048
0.95,AcOHAcOH095,-458.515539,-288214.772,0.32121724999512935,0.23580000002402812
1,AcOHAcOH100,-458.5160509,-288215.0078,0,0
1.05,AcOHAcOH105,-458.5154774,-288214.5822,0.35987124998314357,0.42560000001685694
1.1,AcOHAcOH110,-458.5142193,-288213.694,1.1493290000016998,1.313800000003539
1.25,AcOHAcOH125,-458.5087366,-288210.0016,4.589723249976032,5.006200000003446
1.5,AcOHAcOH150,-458.499987,-288204.5478,10.080097250003774,10.460000000020955
2,AcOHAcOH200,-458.4908407,-288199.3592,15.819400500002274,15.648600000014994
0.9,AcOHUracil090,-644.384857,-405048.7095,1.6834570000014537,1.4453000000212342
0.95,AcOHUracil095,-644.386982,-405049.9578,0.3500195000151507,0.19700000004377216
1,AcOHUracil100,-644.3875398,-405050.1548,0,0
1.05,AcOHUracil105,-644.3870463,-405049.7606,0.3096712500385479,0.39420000003883615
1.1,AcOHUracil110,-644.385883,-405048.9649,1.039641999986145,1.1898999999975786
1.25,AcOHUracil125,-644.3806648,-405045.3903,4.314062500022828,4.764499999990221
1.5,AcOHUracil150,-644.3721566,-405039.7661,9.652957999983585,10.38870000001043
2,AcOHUracil200,-644.3629841,-405034.3911,15.40870175004045,15.76370000001043
0.9,BenzeneAcNH2NHpi090,-441.7745519,-277692.6986,0.5442935000026239,0.531299999973271
0.95,BenzeneAcNH2NHpi095,-441.7753093,-277693.1536,0.06902500000407485,0.0762999999569729
1,BenzeneAcNH2NHpi100,-441.7754193,-277693.2299,0,0
1.05,BenzeneAcNH2NHpi105,-441.7751486,-277693.0349,0.1698642499920311,0.19499999994877726
1.1,BenzeneAcNH2NHpi110,-441.7746776,-277692.6377,0.4654167499948869,0.5921999999554828
1.25,BenzeneAcNH2NHpi125,-441.7729597,-277691.0933,1.5433990000055076,2.136599999968894
1.5,BenzeneAcNH2NHpi150,-441.7707989,-277689.3019,2.8993010000135655,3.927999999956228
2,BenzeneAcNH2NHpi200,-441.7689613,-277688.1809,4.05239500000576,5.048999999999069
0.9,BenzeneAcOH090,-461.6564631,-290189.4162,0.9211699999927703,1.0630000000237487
0.95,BenzeneAcOH095,-461.6577515,-290190.2349,0.1126989999794148,0.24430000002030283
1,BenzeneAcOH100,-461.6579311,-290190.4792,0,0
1.05,BenzeneAcOH105,-461.657554,-290190.368,0.23663024998754167,0.11119999998481944
1.1,BenzeneAcOH110,-461.6569461,-290189.9559,0.6180874999732566,0.5233000000007451
1.25,BenzeneAcOH125,-461.6550639,-290188.0613,1.7991679999803978,2.4179000000003725
1.5,BenzeneAcOH150,-461.6531404,-290186.57,3.0061642500005803,3.9091999999945983
2,BenzeneAcOH200,-461.6518528,-290186.55,3.8141332500080694,3.929200000013225
0.9,BenzeneAcOHOHpi090,-461.6582407,-290191.1167,0.6946424999939893,0.5918999999994412
0.95,BenzeneAcOHOHpi095,-461.6592055,-290191.7086,0.08923050001726551,0
1,BenzeneAcOHOHpi100,-461.6593477,-290191.6238,0,0.08480000001145527
1.05,BenzeneAcOHOHpi105,-461.659023,-290191.1963,0.20374925001348743,0.512300000002142
1.1,BenzeneAcOHOHpi110,-461.6584646,-290190.6856,0.554145250006286,1.0229999999864958
1.25,BenzeneAcOHOHpi125,-461.6564835,-290189.5994,1.7972855000208199,2.10920000000624
1.5,BenzeneAcOHOHpi150,-461.6541195,-290187.8521,3.2806955000208404,3.856499999994412
2,BenzeneAcOHOHpi200,-461.6522385,-290186.5035,4.461023000001347,5.205100000021048
0.9,BenzeneBenzenepipi090,-464.8169314,-292175.6828,1.1200247500114813,2.226699999999255
0.95,BenzeneBenzenepipi095,-464.8183669,-292177.3342,0.21924850000289098,0.5753000000258908
1,BenzeneBenzenepipi100,-464.8187163,-292177.9095,0,0
1.05,BenzeneBenzenepipi105,-464.8185178,-292177.748,0.1245587500065426,0.16149999998742715
1.1,BenzeneBenzenepipi110,-464.8180817,-292177.005,0.3982115000076192,0.904500000004191
1.25,BenzeneBenzenepipi125,-464.816619,-292174.54,1.3160557500016523,3.3695000000298023
1.5,BenzeneBenzenepipi150,-464.8151361,-292174.4908,2.2465754999922183,3.418699999980163
2,BenzeneBenzenepipi200,-464.8141367,-292174.4908,2.873698999999732,3.418699999980163
