ccsd(t)_relative_energy,mm_relative_energy
0.47000027,0.2895607
0.07999992,0.28762785
4.3,3.2967677
0.17000008,0.061203815
0,0
0.5799999,1.2657692
3.0900002,2.3436038
1.6000001,1.1977677
0,0.14298335
0.26,0
0.5700002,0.7450409
0.32000017,0.9585495
2.9700003,2.7346325
1.3500001,7.2119126
2.83,5.9669833
0.98,2.332755
3.14,2.7900379
3.7800002,3.7370093
0.93000007,0.63786626
1.97,1.605089
0.70000005,0.351059
1.6200001,4.17089
3.8700001,3.5971422
0.33000016,2.2394242
0.2900002,0.62117815
3.91,4.059549
1.7900002,1.7893076
0.84000015,1.6921601
3.19,3.1680865
0.70000005,0.52525055
0.6200001,0.74660724
1.8600001,1.5218908
0.28999996,1.1439415
0,0.21622552
0.79999995,2.5000715
1.2299999,3.6713061
2.6399999,5.6482196
0.26999998,0.090784594
0.049999952,0
1.0999999,0.79363376
1.3299999,1.4595574
2.3799999,2.1921597
2.04,1.6778288
0.12999988,1.2628372
0.28999996,0.8807432
0.06999993,0.88208526
2.81,2.557147
2.6499999,2.3134403
1.0100002,0.5105928
1.4800005,5.3740325
0,0.10597842
13.85,10.885509
8.83,7.0093966
4.0300007,3.1333435
0.2800007,1.4719112
0.3199997,0
6.72,5.746058
0.3899994,0
8.83,8.213087
0,0.53921354
3.7499995,2.5814972
1.1300001,0.29478484
0.3199997,2.7978594
1.9599996,8.521205
2.4299998,2.346111
0,0
0.3599999,0.2474784
0.119999886,0.44674864
0.12999988,0.037100427
1.1099999,0.9984933
0.7599999,2.1481714
1.9099998,1.7861531
2.65,3.4900227
1.9399999,2.8165674
0.23000002,0
0,0.22920705
0.3499999,1.1974039
1.06,1.9964633
0.13999987,0.8777444
0,0.54285496
0,0.07438183
0.19999981,0.34603268
7.1200004,5.80815
2.0400004,1.9656153
0.5600004,0.71874595
4.57,3.8559625
0.07999992,0
0.59000015,0.29687998
2.22,3.9667366
0.94000006,1.5180205
0.8000001,1.9384269
0.16000009,0.34653047
0.26999998,0.4572243
1.7,2.754613
0,0
0.08000016,0.13893713
0.4699998,1.4609201
0,0.54583174
1.6100001,2.7416718
0.17000008,0.9925562
3.23,4.2207737
0.4699998,0
0.059999943,0.17716102
4.74,5.598637
0.23000002,1.5372303
0.5999999,2.126379
1.96,3.655414
3.9,5.3342977
5.7400002,6.84783
0,0.93991184
0.010000229,0.39309114
0.39000034,0
0.44000006,1.093837
0.069999695,0
4.88,5.8265557
3.2299998,4.1560645
0,0.22734304
0.14999962,0.6288758
1.5799999,2.4692717
0.50999975,0.14967537
1.4099998,3.8478847
0,0.19218892
0.39999986,0.15934326
0.32999992,1.1854576
0.099999905,0
1.5,1.062038
3.3799999,2.8109937
2.67,2.1088612
4.1,4.6394463
6.05,6.238223
0,0.3802254
0.5,0
0.05000019,0.038377974
0.21999979,0.8603316
2.0300002,2.8846924
0.59000015,1.3861775
0,0.028868726
0.09000015,0
2.7,2.2472603
0.32000017,0.1794859
1.0300001,2.3070273
2.1200001,1.7219889
1.19,0.9194531
0.21000004,0.5719671
4.6600003,6.1341977
0.14000034,0.8053248
0,0.2641
0.5,1.4239675
0.32000017,0
1.8700001,3.0916598
3.4800003,4.8045177
1.5300002,0.46606982
0.32999992,11.204971
0.8699999,0
1.68,0.50595444
0.049999952,5.0254173
2.3899999,1.0623963
0.25,0.19286677
0,2.1210277
0.089999914,0.7736858
1.4300001,1.1647233
1.3000002,0.8459857
0.36000013,1.3004384
0.3800001,0.08806858
3.25,2.8289783
2.68,2.2228646
2.67,5.8514895
0.26999998,0.36200786
0.08000016,0.2580808
1.3100002,4.0844707
0.03000021,0.68399113
0.1400001,0
2.3500001,1.8254801
0,0.30208045
3.0700002,2.5767162
0.71000004,2.0975559
5.46,5.2380037
2.42,1.8120195
2.18,6.504639
0.6300001,0.21997268
4.35,3.8523266
0,0.39709452
0.15999985,0
0.49000025,2.0987082
0.3599999,0.04077489
2.8,1.8976228
2.1100001,1.3091189
0.3900001,2.3267488
1.13,0.5381131
0.1400001,0
0.03999996,0.7940286
0,0.17155394
0.5199995,0.83433753
0.17000008,0.3812816
0.5999994,0.5134629
0.09000015,0
1.96,2.329257
0,0.055089816
6.85,6.6120143
4.2,4.3162975
0.47000003,0
0.13999987,1.1758162
2.1100001,3.6860461
0.059999943,0.32684278
1.1700001,2.6177144
0.3699999,1.5901221
0,0.74280626
2.85,4.5756164
0.49000025,1.2832173
0.3800001,0
0.19000006,0.83909947
0,0.42785642
4.6200004,5.2989564
1.6300001,2.5178668
0.01999998,0.10703465
3.18,3.9553337
0,0
1,0.795852
3.8400002,3.3365698
1.3299999,3.3822725
0.32000065,0.17885773
0.22999954,0.7466118
14.540001,10.69126
0.29000092,0
8.960001,6.5709248
0.9700012,0.3700711
1.4899998,6.157193
3.9800005,2.760428
0.30000114,1.9143072
0,0.2961415
0.74,0
2.66,3.8447847
0.13999987,0.07109143
0,0.3890048
0.119999886,0.81157553
0.3900001,1.26477
1.3900001,2.4992588
3.67,4.96754
0.3900001,0.81861764
3.88,4.469091
0.13000011,0.4525727
0,0.14901893
0.5700002,0.16948342
1.3900001,1.9319819
0.09000015,0
2.71,3.2657893
0.17000008,0.018507931
4.0099998,2.9003224
4.95,3.772489
