mol_name,Reference Energy,resff_Energy,scan,wb97m Energy,mol_base,wb97m_relative_energy,resff_relative_energy
AcNH2AcNH2090,-14.93,7757.6533,0.9,-418.7443758,AcNH2AcNH2,1.45153299998492,0.36959999999999127
AcNH2AcNH2095,-16.03,7757.4087,0.95,-418.7462338,AcNH2AcNH2,0.2856379999429919,0.125
AcNH2AcNH2100,-16.26,7757.2837,1.0,-418.746689,AcNH2AcNH2,0.0,0.0
AcNH2AcNH2105,-15.94,7757.3647,1.05,-418.7462265,AcNH2AcNH2,0.29021875001490116,0.08100000000013097
AcNH2AcNH2110,-15.26,7758.0894,1.1,-418.7451949,AcNH2AcNH2,0.9375477500143461,0.805699999999888
AcNH2AcNH2125,-12.42,7761.2744,1.25,-418.7407114,AcNH2AcNH2,3.750943999970332,3.990700000000288
AcNH2Uracil090,-17.7,10740.23,0.9,-624.5019453,AcNH2Uracil,1.6169420000514947,0.4969999999993888
AcNH2Uracil095,-18.89,10739.733,0.95,-624.5039504,AcNH2Uracil,0.3587417500675656,0.0
AcNH2Uracil100,-19.19,10739.885,1.0,-624.5045221,AcNH2Uracil,0.0,0.15200000000004366
AcNH2Uracil105,-18.9,10740.538,1.05,-624.5041238,AcNH2Uracil,0.24993325007380918,0.805000000000291
AcNH2Uracil110,-18.22,10741.418,1.1,-624.5030975,AcNH2Uracil,0.8939365000696853,1.6849999999994907
AcNH2Uracil125,-15.21,10744.58,1.25,-624.4983437,AcNH2Uracil,3.876946000091266,4.846999999999753
AcNH2Uracil150,-10.23,10749.278,1.5,-624.4904068,AcNH2Uracil,8.8573507500696,9.545000000000073
AcNH2Uracil200,-4.65,10754.847,2.0,-624.4815091,AcNH2Uracil,14.440657500002999,15.113999999999578
AcOHAcOH090,-17.45,6635.45,0.9,-458.5133666,AcOHAcOH,1.6843982500140555,1.689300000000003
AcOHAcOH095,-18.79,6634.3125,0.95,-458.515539,AcOHAcOH,0.3212172500207089,0.5518000000001848
AcOHAcOH100,-19.09,6633.7607,1.0,-458.5160509,AcOHAcOH,0.0,0.0
AcOHAcOH105,-18.72,6634.235,1.05,-458.5154774,AcOHAcOH,0.3598712499951944,0.4742999999998574
AcOHAcOH110,-17.94,6634.8506,1.1,-458.5142193,AcOHAcOH,1.1493289999780245,1.0898999999999432
AcOHAcOH125,-14.56,6637.491,1.25,-458.5087366,AcOHAcOH,4.5897232499555685,3.7303000000001703
AcOHAcOH150,-9.21,6643.677,1.5,-458.499987,AcOHAcOH,10.080097250000108,9.916299999999865
AcOHAcOH200,-3.59,6649.688,2.0,-458.4908407,AcOHAcOH,15.819400499982294,15.927300000000287
AcOHUracil090,-17.9,10179.036,0.9,-644.384857,AcOHUracil,1.683457000006456,1.1200000000008004
AcOHUracil095,-19.19,10177.916,0.95,-644.386982,AcOHUracil,0.35001950000878423,0.0
AcOHUracil100,-19.49,10177.977,1.0,-644.3875398,AcOHUracil,0.0,0.0610000000015134
AcOHUracil105,-19.15,10178.818,1.05,-644.3870463,AcOHUracil,0.3096712500555441,0.9020000000000437
AcOHUracil110,-18.41,10179.838,1.1,-644.385883,AcOHUracil,1.0396419999888167,1.9220000000004802
AcOHUracil125,-15.14,10183.43,1.25,-644.3806648,AcOHUracil,4.314062500023283,5.514000000001033
AcOHUracil150,-9.86,10188.777,1.5,-644.3721566,AcOHUracil,9.652957999962382,10.861000000000786
AcOHUracil200,-4.15,10194.56,2.0,-644.3629841,AcOHUracil,15.408701750042383,16.644000000000233
BenzeneAcNH2NHpi090,-3.79,9724.11,0.9,-441.7745519,BenzeneAcNH2NHpi,0.5442935000173748,0.42000000000007276
BenzeneAcNH2NHpi095,-4.27,9723.69,0.95,-441.7753093,BenzeneAcNH2NHpi,0.06902499997522682,0.0
BenzeneAcNH2NHpi100,-4.36,9723.782,1.0,-441.7754193,BenzeneAcNH2NHpi,0.0,0.09199999999873398
BenzeneAcNH2NHpi105,-4.23,9724.149,1.05,-441.7751486,BenzeneAcNH2NHpi,0.16986424999777228,0.45899999999892316
BenzeneAcNH2NHpi110,-3.97,9724.621,1.1,-441.7746776,BenzeneAcNH2NHpi,0.46541674999753013,0.9309999999986758
BenzeneAcNH2NHpi125,-2.97,9725.997,1.25,-441.7729597,BenzeneAcNH2NHpi,1.5433990000165068,2.3069999999988795
BenzeneAcNH2NHpi150,-1.65,9726.643,1.5,-441.7707989,BenzeneAcNH2NHpi,2.8993009999976493,2.95299999999952
BenzeneAcNH2NHpi200,-0.48,9727.485,2.0,-441.7689613,BenzeneAcNH2NHpi,4.052395000006072,3.7950000000000728
BenzeneAcOH090,-2.73,9164.321,0.9,-461.6564631,BenzeneAcOH,0.921169999986887,1.1059999999997672
BenzeneAcOH095,-3.6,9163.384,0.95,-461.6577515,BenzeneAcOH,0.11269899999024346,0.16899999999986903
BenzeneAcOH100,-3.8,9163.215,1.0,-461.6579311,BenzeneAcOH,0.0,0.0
BenzeneAcOH105,-3.65,9163.452,1.05,-461.657554,BenzeneAcOH,0.23663024994311854,0.23699999999917054
BenzeneAcOH110,-3.34,9164.039,1.1,-461.6569461,BenzeneAcOH,0.6180874999263324,0.8240000000005239
BenzeneAcOH125,-2.24,9165.094,1.25,-461.6550639,BenzeneAcOH,1.7991679999395274,1.878999999998996
BenzeneAcOH150,-1.02,9165.955,1.5,-461.6531404,BenzeneAcOH,3.0061642499640584,2.7399999999997817
BenzeneAcOH200,-0.26,9166.776,2.0,-461.6518528,BenzeneAcOH,3.814133249979932,3.5609999999996944
BenzeneAcOHOHpi090,-3.97,9163.218,0.9,-461.6582407,BenzeneAcOHOHpi,0.6946424999623559,0.8830000000016298
BenzeneAcOHOHpi095,-4.58,9162.571,0.95,-461.6592055,BenzeneAcOHOHpi,0.08923049998702481,0.2360000000007858
BenzeneAcOHOHpi100,-4.7,9162.335,1.0,-461.6593477,BenzeneAcOHOHpi,0.0,0.0
BenzeneAcOHOHpi105,-4.55,9162.409,1.05,-461.659023,BenzeneAcOHOHpi,0.2037492499803193,0.07400000000052387
BenzeneAcOHOHpi110,-4.25,9162.757,1.1,-461.6584646,BenzeneAcOHOHpi,0.5541452500037849,0.4220000000004802
BenzeneAcOHOHpi125,-3.13,9164.4,1.25,-461.6564835,BenzeneAcOHOHpi,1.7972855000407435,2.0650000000005093
BenzeneAcOHOHpi150,-1.7,9166.003,1.5,-461.6541195,BenzeneAcOHOHpi,3.2806955000269227,3.6680000000014843
BenzeneAcOHOHpi200,-0.55,9166.392,2.0,-461.6522385,BenzeneAcOHOHpi,4.461023000010755,4.0570000000006985
BenzeneBenzenepipi090,-0.23,11682.747,0.9,-464.8169314,BenzeneBenzenepipi,1.1200247500091791,0.9569999999985157
