mol_id,conf_id,scan,b3lyp_energy,mm_energy,b3lyp_relative_energy,mm_relative_energy
1,1,-165,-351878.6,11039.722,11.100000000034925,5.914062540000001
1,2,-150,-351878.88,11040.969,10.820000000006983,7.161132800000001
1,3,-135,-351879.12,11042.095,10.580000000016298,8.2871094
1,4,-120,-351879.44,11042.576,10.260000000009311,8.768554700000001
1,5,-105,-351880,11042.325,9.700000000011642,8.5175782
1,6,-90,-351881.03,11041.217,8.669999999983702,7.409179700000001
1,7,-75,-351882.8,11039.86,6.900000000023283,6.0527344
1,8,-60,-351885.1,11038.055,4.600000000034925,4.24707035
1,9,-45,-351887.12,11036.163,2.580000000016298,2.3554688000000006
1,10,-30,-351888.56,11034.7705,1.1400000000139698,0.9628906000000006
1,11,-15,-351889.4,11034.028,0.2999999999883584,0.22070320000000088
1,12,0,-351889.7,11033.808,0,0
1,13,15,-351889.4,11034.028,0.2999999999883584,0.22070320000000088
1,14,30,-351888.56,11034.7705,1.1400000000139698,0.9628906000000006
1,15,45,-351887.12,11036.163,2.580000000016298,2.3554688000000006
1,16,60,-351885.1,11038.049,4.600000000034925,4.241211000000001
1,17,75,-351882.8,11039.873,6.900000000023283,6.0654297
1,18,90,-351881.03,11041.219,8.669999999983702,7.411132800000001
1,19,105,-351880,11042.325,9.700000000011642,8.5175782
1,20,120,-351879.44,11042.576,10.260000000009311,8.768554700000001
1,21,135,-351879.12,11042.099,10.580000000016298,8.291015600000001
1,22,150,-351878.88,11040.969,10.820000000006983,7.161132800000001
1,23,165,-351878.6,11039.722,11.100000000034925,5.914062540000001
1,24,180,-351878.34,11038.54,11.35999999998603,4.7324219
2,1,-165,-462460.88,12520.856,2.279999999969732,3.984375
2,2,-150,-462462,12519.392,1.1599999999743886,2.51953124
2,3,-135,-462462.8,12518.102,0.3599999999860301,1.2294922000000001
2,4,-120,-462463.12,12517.268,0.0399999999790452,0.3955078000000001
2,5,-105,-462463.12,12516.908,0.0399999999790452,0.036132800000000076
2,6,-90,-462463.12,12516.872,0.0399999999790452,0
2,7,-75,-462463.16,12517.003,0,0.13085940000000007
2,8,-60,-462463.06,12517.441,0.0999999999767169,0.5693359
2,9,-45,-462462.56,12518.357,0.5999999999767169,1.48535155
2,10,-30,-462461.7,12519.697,1.459999999962747,2.8251953
2,11,-15,-462460.7,12521.029,2.459999999962747,4.1572266
2,12,0,-462460.06,12521.721,3.099999999976717,4.8486328
2,13,15,-462460.7,12521.031,2.459999999962747,4.1591797
2,14,30,-462461.7,12519.682,1.459999999962747,2.8095703
2,15,45,-462462.56,12518.358,0.5999999999767169,1.4863281000000002
2,16,60,-462463.06,12517.441,0.0999999999767169,0.5693359
2,17,75,-462463.16,12517.004,0,0.1318359
2,18,90,-462463.12,12516.872,0.0399999999790452,0
2,19,105,-462463.12,12516.908,0.0399999999790452,0.036132800000000076
2,20,120,-462463.12,12517.268,0.0399999999790452,0.3955078000000001
2,21,135,-462462.8,12518.101,0.3599999999860301,1.2285156000000002
2,22,150,-462462,12519.392,1.1599999999743886,2.51953124
2,23,165,-462460.88,12520.856,2.279999999969732,3.984375
2,24,180,-462460.06,12521.721,3.099999999976717,4.8486328
3,1,-165,-549398.5,10797.346,1,1.26660156
3,2,-150,-549399.3,10796.132,0.1999999999534338,0.05273439999999996
3,3,-135,-549399.5,10796.233,0,0.15429689999999996
3,4,-120,-549399.4,10796.7295,0.0999999999767169,0.65039062
3,5,-105,-549398.6,10797.687,0.9000000000232831,1.6074218999999998
3,6,-90,-549397.6,10799.402,1.900000000023283,3.3232422
3,7,-75,-549398.7,10797.724,0.8000000000465661,1.64453125
3,8,-60,-549399.44,10796.692,0.0600000000558793,0.61328125
3,9,-45,-549399.44,10796.153,0.0600000000558793,0.07421875
3,10,-30,-549399.3,10796.079,0.1999999999534338,0
3,11,-15,-549398.5,10797.373,1,1.2939453
3,12,0,-549398.7,10796.929,0.8000000000465661,0.849609375
3,13,15,-549398.5,10797.354,1,1.27441406
3,14,30,-549399.3,10796.08,0.1999999999534338,0.0009765600000000152
3,15,45,-549399.44,10796.144,0.0600000000558793,0.06445310000000004
3,16,60,-549399.44,10796.693,0.0600000000558793,0.6142578000000001
