torsion,resff,qm,mace,esp,openff
-165,0.049804688,0.05327475,0.0367,0.1826172,23.735924
-150,0.24804688,0.2830025,0.235,0.7460937,24.305971
-135,0.69433594,0.819013,0.7417,1.74023434,25.336954
-120,1.4414062,1.6213345,1.501,3.1162109,26.689798
-105,2.2304688,2.4308095,2.2802,4.5078124,27.923079
-90,2.7636719,2.92433825,2.7253,5.1386718,28.400148
-75,2.7666016,2.80235225,2.4636,4.4941406,27.826023
-60,2.2070312,2.15150925,1.7328,3.12499996,26.652548
-45,1.3017578,1.4034665,0.9404,1.8535156,25.493547
-30,0.6826172,0.9403715,0.4298,1.0917968,24.640198
-15,0.5878906,0.828802,0.2651,0.7949218,24.157223
0,0.63671875,0.84517975,0.2557,0.7421875,24.017239
15,0.58691406,0.82861375,0.2651,0.7949218,24.176077
30,0.6826172,0.940246,0.4298,1.0917968,24.674698
45,1.3095703,1.404847,0.9444,1.85449215,25.530504
60,2.211914,2.15314075,1.7354,3.1269531,26.67952
75,2.7617188,2.80297975,2.4633,4.4941406,27.84863
90,2.7636719,2.92396175,2.7251,5.1386718,28.430653
105,2.2324219,2.43262925,2.2822,4.5126953,27.949844
120,1.4384766,1.6205815,1.4998,3.11718746,26.720243
135,0.6933594,0.81832275,0.7412,1.7363281,25.361242
150,0.24707031,0.28306525,0.235,0.7451172,24.332943
165,0.047851562,0.05026275,0.0335,0.1777344,23.756573
180,0,0,0,0,23.573553
