mol_id,conf_id,scan,b3lyp_energy,mm_energy,b3lyp_relative_energy,mm_relative_energy
1,1,-165,-351878.6,-254.07034,11.100000000034925,16.74673999999999
1,2,-150,-351878.88,-253.6476,10.820000000006983,17.169479999999965
1,3,-135,-351879.12,-253.30147,10.580000000016298,17.51560999999998
1,4,-120,-351879.44,-253.85332,10.260000000009311,16.96375999999998
1,5,-105,-351880,-255.76262,9.700000000011642,15.054459999999978
1,6,-90,-351881.03,-259.06418,8.669999999983702,11.752899999999954
1,7,-75,-351882.8,-262.3712,6.900000000023283,8.445879999999988
1,8,-60,-351885.1,-265.03604,4.600000000034925,5.781039999999962
1,9,-45,-351887.12,-267.38107,2.580000000016298,3.4360099999999534
1,10,-30,-351888.56,-269.21985,1.1400000000139698,1.5972299999999677
1,11,-15,-351889.4,-270.4151,0.2999999999883584,0.40197999999998046
1,12,0,-351889.7,-270.81708,0,0
1,13,15,-351889.4,-270.4151,0.2999999999883584,0.40197999999998046
1,14,30,-351888.56,-269.2254,1.1400000000139698,1.5916799999999967
1,15,45,-351887.12,-267.38113,2.580000000016298,3.435949999999991
1,16,60,-351885.1,-265.04825,4.600000000034925,5.76882999999998
1,17,75,-351882.8,-262.37332,6.900000000023283,8.443759999999997
1,18,90,-351881.03,-259.06232,8.669999999983702,11.754759999999976
1,19,105,-351880,-255.76262,9.700000000011642,15.054459999999978
1,20,120,-351879.44,-253.85335,10.260000000009311,16.96372999999997
1,21,135,-351879.12,-253.30199,10.580000000016298,17.515089999999987
1,22,150,-351878.88,-253.6476,10.820000000006983,17.169479999999965
1,23,165,-351878.6,-254.07034,11.100000000034925,16.74673999999999
1,24,180,-351878.34,-254.39291,11.35999999998603,16.424169999999975
2,1,-165,-462460.88,16.27597,2.279999999969732,1.8694450000000007
2,2,-150,-462462,15.36387,1.1599999999743886,0.9573450000000001
2,3,-135,-462462.8,14.664764,0.3599999999860301,0.25823899999999966
2,4,-120,-462463.12,14.441396,0.0399999999790452,0.034870999999998986
2,5,-105,-462463.12,14.508256,0.0399999999790452,0.10173099999999913
2,6,-90,-462463.12,14.562283,0.0399999999790452,0.1557580000000005
2,7,-75,-462463.16,14.473456,0,0.0669310000000003
2,8,-60,-462463.06,14.406525,0.0999999999767169,0
2,9,-45,-462462.56,14.696975,0.5999999999767169,0.2904499999999999
2,10,-30,-462461.7,15.460992,1.459999999962747,1.054466999999999
2,11,-15,-462460.7,16.314018,2.459999999962747,1.9074930000000005
2,12,0,-462460.06,16.682863,3.099999999976717,2.276338000000001
2,13,15,-462460.7,16.311504,2.459999999962747,1.904978999999999
2,14,30,-462461.7,15.449592,1.459999999962747,1.0430670000000006
2,15,45,-462462.56,14.69905,0.5999999999767169,0.2925249999999995
2,16,60,-462463.06,14.407393,0.0999999999767169,0.000868000000000535
2,17,75,-462463.16,14.474333,0,0.06780799999999942
2,18,90,-462463.12,14.562289,0.0399999999790452,0.15576399999999957
2,19,105,-462463.12,14.507138,0.0399999999790452,0.10061299999999918
2,20,120,-462463.12,14.440917,0.0399999999790452,0.03439200000000042
2,21,135,-462462.8,14.666187,0.3599999999860301,0.2596620000000005
2,22,150,-462462,15.363999,1.1599999999743886,0.9574739999999995
2,23,165,-462460.88,16.27532,2.279999999969732,1.8687950000000004
2,24,180,-462460.06,16.678946,3.099999999976717,2.2724209999999996
3,1,-165,-549398.5,-148.20122,1,0.8658299999999883
3,2,-150,-549399.3,-148.59038,0.1999999999534338,0.4766699999999844
3,3,-135,-549399.5,-148.03877,0,1.0282799999999952
3,4,-120,-549399.4,-146.92908,0.0999999999767169,2.1379699999999957
3,5,-105,-549398.6,-145.30635,0.9000000000232831,3.7606999999999857
3,6,-90,-549397.6,-143.34512,1.900000000023283,5.721929999999986
3,7,-75,-549398.7,-145.48259,0.8000000000465661,3.584460000000007
3,8,-60,-549399.44,-147.02896,0.0600000000558793,2.0380899999999826
3,9,-45,-549399.44,-148.25105,0.0600000000558793,0.8160000000000025
3,10,-30,-549399.3,-148.71059,0.1999999999534338,0.35645999999999844
3,11,-15,-549398.5,-148.29501,1,0.7720400000000041
3,12,0,-549398.7,-149.06705,0.8000000000465661,0
3,13,15,-549398.5,-148.33157,1,0.7354799999999955
3,14,30,-549399.3,-148.71057,0.1999999999534338,0.3564800000000048
3,15,45,-549399.44,-148.25291,0.0600000000558793,0.8141399999999805
3,16,60,-549399.44,-147.02895,0.0600000000558793,2.038099999999986
3,17,75,-549398.7,-145.50737,0.8000000000465661,3.559679999999986
3,18,90,-549397.6,-143.31006,1.900000000023283,5.756990000000002
3,19,105,-549398.6,-145.18965,0.9000000000232831,3.8773999999999944
3,20,120,-549399.4,-146.93248,0.0999999999767169,2.1345699999999965
3,21,135,-549399.5,-148.04057,0,1.0264799999999923
3,22,150,-549399.3,-148.59016,0.1999999999534338,0.47688999999999737
3,23,165,-549398.5,-148.20813,1,0.8589199999999835
3,24,180,-549398.7,-149.04623,0.8000000000465661,0.020819999999986294
4,1,-165,-123337.586,12.986755,0.9640000000072176,2.0358410000000013
4,2,-150,-123338,12.791709,0.5500000000029104,1.8407950000000017
4,3,-135,-123338.4,12.367397,0.1500000000087311,1.4164830000000013
4,4,-120,-123338.55,11.872036,0,0.9211220000000004
4,5,-105,-123338.375,11.438655,0.1750000000029103,0.48774100000000153
4,6,-90,-123337.94,11.06097,0.6100000000005821,0.11005600000000015
4,7,-75,-123337.28,10.950914,1.2700000000040743,0
4,8,-60,-123336.23,11.670615,2.320000000006985,0.7197010000000006
4,9,-45,-123334.984,13.216723,3.56600000000617,2.265809000000001
4,10,-30,-123334.484,15.373204,4.06600000000617,4.42229
4,11,-15,-123334.73,15.605229,3.820000000006985,4.654315
4,12,0,-123334.87,15.571031,3.680000000007567,4.6201170000000005
4,13,15,-123334.734,15.61049,3.81600000000617,4.659576000000001
4,14,30,-123334.484,15.374794,4.06600000000617,4.4238800000000005
4,15,45,-123334.984,13.216725,3.56600000000617,2.265811000000001
4,16,60,-123336.23,11.670609,2.320000000006985,0.7196950000000015
4,17,75,-123337.28,10.950915,1.2700000000040743,1.0000000010279564e-06
4,18,90,-123337.94,11.06097,0.6100000000005821,0.11005600000000015
4,19,105,-123338.375,11.438655,0.1750000000029103,0.48774100000000153
4,20,120,-123338.55,11.872036,0,0.9211220000000004
4,21,135,-123338.4,12.367396,0.1500000000087311,1.4164820000000002
4,22,150,-123338,12.79171,0.5500000000029104,1.840796000000001
4,23,165,-123337.586,12.986756,0.9640000000072176,2.0358420000000006
4,24,180,-123337.414,13.021422,1.135999999998603,2.0705080000000002
5,1,-165,-300277.47,92.16261,4.330000000016298,6.455359999999999
5,2,-150,-300277.5,93.01579,4.299999999988359,7.308539999999994
5,3,-135,-300277.75,94.2534,4.049999999988359,8.546149999999997
5,4,-120,-300278.2,95.33421,3.599999999976717,9.626959999999997
5,5,-105,-300278.72,96.02985,3.080000000016298,10.322599999999994
5,6,-90,-300279.44,95.62889,2.35999999998603,9.921639999999996
5,7,-75,-300280.22,94.1129,1.580000000016298,8.405649999999994
5,8,-60,-300280.97,91.99066,0.8300000000162981,6.2834100000000035
5,9,-45,-300281.56,89.85725,0.2399999999906867,4.1499999999999915
5,10,-30,-300281.8,88.00965,0,2.3023999999999916
5,11,-15,-300281.78,86.459206,0.0199999999604187,0.7519559999999927
5,12,0,-300281.72,85.70725,0.0800000000162981,0
5,13,15,-300281.78,86.45888,0.0199999999604187,0.7516299999999916
5,14,30,-300281.8,88.00967,0,2.302419999999998
5,15,45,-300281.56,89.85815,0.2399999999906867,4.150899999999993
5,16,60,-300280.97,91.990654,0.8300000000162981,6.283404000000004
5,17,75,-300280.22,94.11663,1.580000000016298,8.409379999999999
5,18,90,-300279.44,95.63342,2.35999999998603,9.926169999999999
5,19,105,-300278.72,96.02833,3.080000000016298,10.321079999999995
5,20,120,-300278.2,95.32658,3.599999999976717,9.619330000000005
5,21,135,-300277.75,94.24601,4.049999999988359,8.538759999999996
5,22,150,-300277.5,93.01764,4.299999999988359,7.310389999999998
5,23,165,-300277.47,92.16298,4.330000000016298,6.455730000000003
5,24,180,-300277.53,92.01766,4.269999999960419,6.3104100000000045
6,1,-165,-537791.56,-3.9783447,0.3399999999674037,4.5601083000000004
