mol_id,conf_id,scan,b3lyp_relative_energy,wb97m_relative_energy,MACE_relative_energy
1,1,-165,11.09375,10.410727,9.6009
1,2,-150,10.8125,9.76308425,9.2683
1,3,-135,10.5625,9.1879805,9.1189
1,4,-120,10.25,8.647201,8.7217
1,5,-105,9.6875,8.0097865,7.9589
1,6,-90,8.65625,7.20250775,6.801
1,7,-75,6.875,5.82025075,5.285
1,8,-60,4.59375,3.93310725,3.4458
1,9,-45,2.5625,2.18765325,1.9189
1,10,-30,1.125,0.9361045,0.8288
1,11,-15,0.28125,0.223139,0.1982
1,12,0,0,0,0
1,13,15,0.28125,0.223139,0.1982
1,14,30,1.125,0.93579075,0.8274
1,15,45,2.5625,2.186461,1.9183
1,16,60,4.59375,3.92833825,3.4398
1,17,75,6.875,5.815419,5.2836
1,18,90,8.65625,7.20275875,6.8013
1,19,105,9.6875,8.0097865,7.9589
1,20,120,10.25,8.64713825,8.7216
1,21,135,10.5625,9.1866,9.1184
1,22,150,10.8125,9.76308425,9.2683
1,23,165,11.09375,10.41078975,9.6009
1,24,180,11.34375,11.0305715,10.2495
2,1,-165,2.28125,3.265259,3.458
2,2,-150,1.15625,1.92811925,2.1286
2,3,-135,0.34375,0.82146025,0.9225
2,4,-120,0.03125,0.2011765,0.2574
2,5,-105,0.03125,0.0146835,0.0301
2,6,-90,0.03125,0,0
2,7,-75,0,0.0443015,0.0728
2,8,-60,0.09375,0.35434925,0.4227
2,9,-45,0.59375,1.11437725,1.2357
2,10,-30,1.46875,2.262765,2.4602
2,11,-15,2.46875,3.437194,3.593
2,12,0,3.09375,3.94816725,3.8765
2,13,15,2.46875,3.43976675,3.5959
2,14,30,1.46875,2.2638945,2.4676
2,15,45,0.59375,1.11425175,1.2357
2,16,60,0.09375,0.354663,0.4227
2,17,75,0,0.0443015,0.0732
2,18,90,0.03125,0.00056475,0
2,19,105,0.03125,0.014558,0.0304
2,20,120,0.03125,0.2011765,0.2572
2,21,135,0.34375,0.8206445,0.9213
2,22,150,1.15625,1.92661325,2.1276
2,23,165,2.28125,3.265259,3.4579
2,24,180,3.09375,3.94917125,3.8783
3,1,-165,1,0.90780425,0.943
3,2,-150,0.1875,0.11113025,0.0901
3,3,-135,0,0.0242215,0.0192
3,4,-120,0.125,0.16258525,0.1319
3,5,-105,0.875,0.76222425,0.656
3,6,-90,1.875,1.79910525,1.5004
3,7,-75,0.8125,0.78230425,0.6847
3,8,-60,0.0625,0.13723425,0.1012
3,9,-45,0.0625,0.0051455,0.0049
3,10,-30,0.1875,0.08163775,0.0523
3,11,-15,1,0.8768685,0.8992
3,12,0,0.8125,0.581567,0.5613
3,13,15,1,0.88797525,0.9178
3,14,30,0.1875,0.0817005,0.0523
3,15,45,0.0625,0,0
3,16,60,0.0625,0.13723425,0.1012
3,17,75,0.8125,0.78945775,0.6857
3,18,90,1.875,1.81353775,1.5159
3,19,105,0.875,0.74201875,0.6452
3,20,120,0.125,0.15668675,0.1252
3,21,135,0,0.0247235,0.02
3,22,150,0.1875,0.10836925,0.0871
3,23,165,1,0.90265875,0.938
3,24,180,0.8125,0.59744275,0.5813
4,1,-165,0.9609375,0.64864675,0.7624
4,2,-150,0.546875,0.40818875,0.4944
4,3,-135,0.1484375,0.13554,0.174
4,4,-120,0,0,0
4,5,-105,0.171875,0.07599025,0.0273
4,6,-90,0.609375,0.292415,0.191
4,7,-75,1.265625,0.64111675,0.5655
4,8,-60,2.3203125,1.58261775,1.4278
4,9,-45,3.5625,2.97027125,2.6033
4,10,-30,4.0625,3.7646235,3.2277
4,11,-15,3.8203125,3.51406275,2.9871
4,12,0,3.6796875,3.3685455,2.8673
4,13,15,3.8125,3.5131215,2.9845
4,14,30,4.0625,3.76368225,3.2269
4,15,45,3.5625,2.97027125,2.6033
4,16,60,2.3203125,1.58349625,1.4286
4,17,75,1.265625,0.64111675,0.5655
4,18,90,0.609375,0.292415,0.191
4,19,105,0.171875,0.07599025,0.0273
4,20,120,0,0,0
4,21,135,0.1484375,0.13554,0.174
4,22,150,0.546875,0.40818875,0.4944
4,23,165,0.9609375,0.64864675,0.7624
4,24,180,1.1328125,0.7280255,0.8518
5,1,-165,4.34375,3.5791345,2.9751
5,2,-150,4.3125,3.6102585,3.4993
5,3,-135,4.0625,3.429413,3.8324
5,4,-120,3.625,2.9724675,3.7071
5,5,-105,3.09375,2.4353275,3.5759
5,6,-90,2.375,1.8156085,3.3129
