scan,b3lyp_energy,mm_energy,b3lyp_relative_energy,mm_relative_energy
-165,-529927.94,4.689102,0,0.8752783000000002
-150,-529927.9,3.9063966,0.0399999999208375,0.09257289999999996
-135,-529927.25,3.8184652,0.6899999999441206,0.004641499999999965
-120,-529926.5,5.0096345,1.4399999999441206,1.1958107999999998
-105,-529925.9,5.3153367,2.0399999999208376,1.5015129999999997
-90,-529925.4,5.849513,2.5399999999208376,2.0356893
-75,-529925.25,5.8651133,2.6899999999441206,2.0512896
-60,-529925.56,5.414244,2.3799999998882413,1.6004203000000001
-45,-529925.9,4.8732905,2.0399999999208376,1.0594668000000005
-30,-529926.2,4.614877,1.7399999999906868,0.8010533
-15,-529926.25,4.949449,1.6899999999441206,1.1356253000000005
0,-529926.1,5.1964555,1.839999999967404,1.3826318
15,-529926.25,4.949016,1.6899999999441206,1.1351923000000004
30,-529926.2,4.6148787,1.7399999999906868,0.8010550000000003
45,-529925.9,4.8732915,2.0399999999208376,1.0594677999999997
60,-529925.56,5.4143505,2.3799999998882413,1.6005268000000004
75,-529925.25,5.865113,2.6899999999441206,2.0512893
90,-529925.4,5.850706,2.5399999999208376,2.0368823
105,-529925.9,5.315135,2.0399999999208376,1.5013112999999998
120,-529926.5,5.0081034,1.4399999999441206,1.1942797000000005
135,-529927.25,3.8138237,0.6899999999441206,0
150,-529927.9,3.9063962,0.0399999999208375,0.09257250000000017
165,-529927.94,4.68927,0,0.8754462999999997
180,-529927.9,5.2560754,0.0399999999208375,1.4422517000000004
-165,-683323.6,-33.583015,1.9600000000791624,4.063911999999995
-150,-683322.75,-32.79232,2.81000000005588,4.8546070000000014
-135,-683321.25,-31.506918,4.310000000055879,6.140008999999999
-120,-683319.4,-29.977022,6.160000000032596,7.669904999999996
-105,-683317.7,-28.685266,7.860000000102445,8.961661
-90,-683317,-28.31999,8.56000000005588,9.326936999999997
-75,-683318,-29.332573,7.560000000055879,8.314353999999998
-60,-683319.94,-31.179852,5.620000000111759,6.467074999999998
-45,-683322.2,-33.100677,3.360000000102445,4.546250000000001
-30,-683324.44,-34.69422,1.1200000001117587,2.9527069999999966
-15,-683325.56,-35.714733,0,1.9321939999999955
0,-683323.8,-37.646927,1.7600000000093132,0
15,-683325.56,-35.704773,0,1.942153999999995
30,-683324.44,-34.695595,1.1200000001117587,2.9513320000000007
45,-683322.2,-33.132732,3.360000000102445,4.514195000000001
60,-683319.94,-31.11575,5.620000000111759,6.531177
75,-683317.94,-29.31779,7.620000000111759,8.329137
90,-683317,-28.319458,8.56000000005588,9.327468999999997
105,-683317.7,-28.683628,7.860000000102445,8.963299
120,-683319.4,-29.975088,6.160000000032596,7.6718389999999985
135,-683321.25,-31.51192,4.310000000055879,6.135006999999998
150,-683322.75,-32.791466,2.81000000005588,4.855460999999998
165,-683323.6,-33.583057,1.9600000000791624,4.063870000000001
180,-683321.9,-35.498146,3.660000000032596,2.1487809999999996
-165,-287078,32.41408,6.5,8.761987999999999
-150,-287077.4,34.982277,7.099999999976717,11.330185000000004
-135,-287076.34,39.168518,8.159999999974389,15.516426
-120,-287075.2,43.377842,9.299999999988358,19.72575
-105,-287074.3,46.719116,10.200000000011642,23.067024
-90,-287074.38,47.273922,10.119999999995343,23.62183
-75,-287076.03,43.70241,8.46999999997206,20.050318
-60,-287078.47,38.243465,6.03000000002794,14.591373
-45,-287080.9,32.663963,3.599999999976717,9.011871000000003
-30,-287082.88,28.034742,1.6199999999953434,4.382650000000002
