mol_id,conf_id,scan,b3lyp_relative_energy,wb97m_relative_energy,resff_relative_energy
1,1,-165,11.09375,10.410727,8.662109
1,2,-150,10.8125,9.76308425,9.041992
1,3,-135,10.5625,9.1879805,9.431641
1,4,-120,10.25,8.647201,9.525391
1,5,-105,9.6875,8.0097865,8.8359375
1,6,-90,8.65625,7.20250775,7.6210938
1,7,-75,6.875,5.82025075,6.2666016
1,8,-60,4.59375,3.93310725,4.334961
1,9,-45,2.5625,2.18765325,2.6279297
1,10,-30,1.125,0.9361045,1.2255859
1,11,-15,0.28125,0.223139,0.31054688
1,12,0,0,0,0
1,13,15,0.28125,0.223139,0.3095703
1,14,30,1.125,0.93579075,1.2294922
1,15,45,2.5625,2.186461,2.6220703
1,16,60,4.59375,3.92833825,4.334961
1,17,75,6.875,5.815419,6.270508
1,18,90,8.65625,7.20275875,7.623047
1,19,105,9.6875,8.0097865,8.839844
1,20,120,10.25,8.64713825,9.524414
1,21,135,10.5625,9.1866,9.433594
1,22,150,10.8125,9.76308425,9.041992
1,23,165,11.09375,10.41078975,8.661133
1,24,180,11.34375,11.0305715,8.282227
2,1,-165,2.28125,3.265259,3.6660156
2,2,-150,1.15625,1.92811925,2.515625
2,3,-135,0.34375,0.82146025,1.3232422
2,4,-120,0.03125,0.2011765,0.4375
2,5,-105,0.03125,0.0146835,0.056640625
2,6,-90,0.03125,0,0.000976563
2,7,-75,0,0.0443015,0.13769531
2,8,-60,0.09375,0.35434925,0.6748047
2,9,-45,0.59375,1.11437725,1.6259766
2,10,-30,1.46875,2.262765,2.7783203
2,11,-15,2.46875,3.437194,3.7597656
2,12,0,3.09375,3.94816725,3.9726562
2,13,15,2.46875,3.43976675,3.7636719
2,14,30,1.46875,2.2638945,2.7919922
2,15,45,0.59375,1.11425175,1.6230469
2,16,60,0.09375,0.354663,0.6748047
2,17,75,0,0.0443015,0.140625
2,18,90,0.03125,0.00056475,0
2,19,105,0.03125,0.014558,0.053710938
2,20,120,0.03125,0.2011765,0.43652344
2,21,135,0.34375,0.8206445,1.3251953
2,22,150,1.15625,1.92661325,2.5185547
2,23,165,2.28125,3.265259,3.6640625
2,24,180,3.09375,3.94917125,3.9765625
3,1,-165,1,0.90780425,1.5292969
3,2,-150,0.1875,0.11113025,0.10058594
3,3,-135,0,0.0242215,0.52734375
3,4,-120,0.125,0.16258525,1.1367188
3,5,-105,0.875,0.76222425,2.0966797
3,6,-90,1.875,1.79910525,3.2109375
3,7,-75,0.8125,0.78230425,2.0898438
3,8,-60,0.0625,0.13723425,1.0371094
3,9,-45,0.0625,0.0051455,0.41796875
3,10,-30,0.1875,0.08163775,0
3,11,-15,1,0.8768685,1.3857422
3,12,0,0.8125,0.581567,0.3564453
3,13,15,1,0.88797525,1.4121094
3,14,30,0.1875,0.0817005,0
3,15,45,0.0625,0,0.41503906
3,16,60,0.0625,0.13723425,1.0371094
3,17,75,0.8125,0.78945775,2.0898438
3,18,90,1.875,1.81353775,3.241211
3,19,105,0.875,0.74201875,2.0751953
3,20,120,0.125,0.15668675,1.1279297
3,21,135,0,0.0247235,0.53515625
3,22,150,0.1875,0.10836925,0.09765625
3,23,165,1,0.90265875,1.5136719
3,24,180,0.8125,0.59744275,0.3984375
4,1,-165,0.9609375,0.64864675,0.9267578
4,2,-150,0.546875,0.40818875,0.68066406
4,3,-135,0.1484375,0.13554,0.2993164
4,4,-120,0,0,0.000488281
4,5,-105,0.171875,0.07599025,0.10498047
4,6,-90,0.609375,0.292415,0.59521484
4,7,-75,1.265625,0.64111675,1.0375977
4,8,-60,2.3203125,1.58261775,1.8242188
4,9,-45,3.5625,2.97027125,3.0439453
4,10,-30,4.0625,3.7646235,3.9194336
4,11,-15,3.8203125,3.51406275,3.6723633
4,12,0,3.6796875,3.3685455,3.4760742
4,13,15,3.8125,3.5131215,3.6640625
4,14,30,4.0625,3.76368225,3.915039
4,15,45,3.5625,2.97027125,3.0439453
4,16,60,2.3203125,1.58349625,1.8266602
4,17,75,1.265625,0.64111675,1.0375977
4,18,90,0.609375,0.292415,0.59521484
4,19,105,0.171875,0.07599025,0.10498047
4,20,120,0,0,0
4,21,135,0.1484375,0.13554,0.2993164
4,22,150,0.546875,0.40818875,0.6801758
4,23,165,0.9609375,0.64864675,0.9267578
4,24,180,1.1328125,0.7280255,0.98095703
5,1,-165,4.34375,3.5791345,2.2695312
5,2,-150,4.3125,3.6102585,2.6513672
5,3,-135,4.0625,3.429413,2.8652344
5,4,-120,3.625,2.9724675,2.828125
5,5,-105,3.09375,2.4353275,2.8457031
5,6,-90,2.375,1.8156085,2.366211
5,7,-75,1.59375,1.135273,1.8769531
5,8,-60,0.84375,0.52208,1.2519531
5,9,-45,0.25,0.13911675,0.6611328
5,10,-30,0,0.01838575,0.27246094
5,11,-15,0.03125,0.01738175,0.0703125
5,12,0,0.09375,0,0
5,13,15,0.03125,0.01650325,0.068359375
5,14,30,0,0.01838575,0.27148438
5,15,45,0.25,0.13773625,0.6640625
5,16,60,0.84375,0.52208,1.2519531
5,17,75,1.59375,1.13533575,1.8652344
5,18,90,2.375,1.816738,2.3769531
5,19,105,3.09375,2.4360805,2.8515625
5,20,120,3.625,2.97184,2.8251953
5,21,135,4.0625,3.42972675,2.866211
5,22,150,4.3125,3.60831325,2.6513672
5,23,165,4.34375,3.581017,2.2763672
5,24,180,4.28125,3.4772285,2.1347656
6,1,-165,0.3125,1.074029,1.8515625
6,2,-150,0,0.59631325,1.4179688
6,3,-135,0.0625,1.46364375,1.9511719
6,4,-120,1.4375,1.42762525,1.8945312
6,5,-105,2.6875,2.35795675,2.3457031
6,6,-90,1.9375,1.93765725,1.6699219
6,7,-75,1.75,1.39599925,1.0703125
6,8,-60,1.3125,0.68272,0.38671875
6,9,-45,0.6875,0.16697775,0
6,10,-30,0.3125,0.00094125,0.060546875
6,11,-15,0.375,0.310989,0.50390625
6,12,0,0.875,0.94269325,1.1738281
6,13,15,0.375,0.31105175,0.5097656
6,14,30,0.3125,0,0.05859375
6,15,45,0.6875,0.1662875,0.001953125
6,16,60,1.3125,0.68366125,0.39257812
6,17,75,1.75,1.396062,1.0703125
6,18,90,1.9375,1.9300645,1.6699219
6,19,105,2.6875,2.3592745,2.3457031
6,20,120,1.4375,1.43402575,1.9121094
6,21,135,0.4375,0.78481425,1.5546875
6,22,150,0,0.59417975,1.4160156
6,23,165,0.3125,1.07409175,1.8535156
6,24,180,1.125,1.9147535,2.3398438
7,1,-165,4.28125,4.12148275,4.310547
7,2,-150,5.25,4.87159625,5.573242
7,3,-135,6.21875,5.65797925,6.8447266
7,4,-120,6.375,5.76547,7.1328125
7,5,-105,5.34375,4.78399725,6.053711
7,6,-90,3.40625,3.00026575,4.459961
7,7,-75,1.375,1.1474465,2.508789
7,8,-60,0.03125,0,0.6640625
7,9,-45,0,0.0681465,0.06933594
7,10,-30,1.25,1.28455525,1.1630859
7,11,-15,2.75,3.0896845,3.6132812
7,12,0,3.53125,4.245163,5.0976562
7,13,15,3.25,3.34225325,3.696289
7,14,30,1.71875,1.58086075,1.3837891
7,15,45,0.5625,0.52465275,0
7,16,60,0.59375,0.59945075,0.40820312
7,17,75,2.03125,1.87076575,2.256836
7,18,90,4.15625,3.7337505,4.4003906
7,19,105,5.75,5.22663575,5.9560547
7,20,120,6.4375,5.80531625,6.805664
7,21,135,6.625,5.907536,7.2314453
7,22,150,5.59375,5.04930425,6.0371094
7,23,165,4.71875,4.517749,4.8447266
7,24,180,3.75,3.7089015,4.0771484
8,1,-165,0.5625,0.620974,0.515625
8,2,-150,2.09375,2.11197675,1.9443359
8,3,-135,3.875,3.93649575,3.7919922
8,4,-120,5.65625,5.4935115,5.6220703
8,5,-105,7.25,6.88995,7.071289
8,6,-90,8.3125,7.83992225,7.786133
8,7,-75,8.59375,8.1169635,7.7373047
8,8,-60,8.0625,7.6418205,7.069336
8,9,-45,6.84375,6.39014625,5.774414
8,10,-30,5.53125,5.00387325,4.3867188
8,11,-15,4.625,4.05722675,3.4697266
8,12,0,4.46875,3.794116,3.4804688
8,13,15,4.625,4.056411,3.4765625
8,14,30,5.53125,5.014227,4.40625
8,15,45,6.84375,6.3903345,5.774414
8,16,60,8.0625,7.63987525,7.064453
8,17,75,8.59375,8.113826,7.732422
8,18,90,8.3125,7.840487,7.7851562
8,19,105,7.25,6.89013825,7.0722656
8,20,120,5.65625,5.4932605,5.626953
8,21,135,3.875,3.933923,3.7832031
8,22,150,2.0625,2.120448,1.9101562
8,23,165,0.5625,0.56029475,0.48632812
8,24,180,0,0,0
9,1,-165,0.375,1.554694,2.1748047
9,2,-150,0.21875,0.79121475,1.3613281
9,3,-135,0.03125,0.27013875,0.859375
9,4,-120,0.03125,0.04574475,0.4453125
9,5,-105,0.0625,0,0.055664062
9,6,-90,0.09375,0.01938975,0
9,7,-75,0.0625,0.01562475,0.17089844
9,8,-60,0,0.10334925,0.6191406
9,9,-45,0.09375,0.41722475,1.0058594
9,10,-30,0.28125,1.01836975,1.5722656
9,11,-15,0.375,1.617695,2.234375
9,12,0,0.375,1.7495955,2.352539
9,13,15,0.375,1.617695,2.2324219
9,14,30,0.28125,1.01849525,1.5722656
9,15,45,0.09375,0.41709925,1.0058594
9,16,60,0,0.10322375,0.6191406
9,17,75,0.0625,0.01989175,0.18164062
9,18,90,0.09375,0.0202055,0
9,19,105,0.0625,0,0.057617188
9,20,120,0.03125,0.0458075,0.4453125
9,21,135,0.03125,0.27013875,0.859375
9,22,150,0.21875,0.79108925,1.3603516
9,23,165,0.375,1.554694,2.1748047
9,24,180,0.375,1.749972,2.359375
10,1,-165,0.46875,1.080053,0.40625
10,2,-150,1.0625,1.809961,1.2636719
10,3,-135,1.6875,2.3103295,1.6503906
10,4,-120,1.59375,2.67057725,2.5107422
10,5,-105,1.03125,2.024566,1.8232422
10,6,-90,0.4375,1.01284775,0.7578125
10,7,-75,0.03125,0.1319005,0
10,8,-60,0.375,0,0.33496094
10,9,-45,1.4375,0.95938475,1.3916016
10,10,-30,2.75,2.34942275,2.743164
10,11,-15,4,3.53765675,3.9824219
10,12,0,4.59375,4.1147685,4.629883
10,13,15,4,3.5362135,3.9853516
10,14,30,2.78125,2.34666175,2.7324219
10,15,45,1.4375,0.9602005,1.390625
10,16,60,0.375,0.000502,0.3388672
10,17,75,0.03125,0.13321825,0.002929688
10,18,90,0.4375,1.01874625,0.7705078
10,19,105,1.03125,2.02550725,1.8173828
10,20,120,1.5625,2.662357,2.5097656
10,21,135,1.6875,2.308949,1.6572266
10,22,150,1.0625,1.8048155,1.2128906
10,23,165,0.625,1.10985925,0.43945312
10,24,180,0,0.8211465,0.36035156
11,1,-165,0.125,0.31305975,0.3046875
11,2,-150,0,0,0
11,3,-135,0.46875,0.2385755,0.30664062
11,4,-120,1.34375,0.86212225,1.109375
11,5,-105,2.21875,1.5437755,2.1074219
11,6,-90,2.625,1.88595125,2.609375
11,7,-75,2.15625,1.59491675,2.1328125
11,8,-60,1.25,0.899082,1.1425781
11,9,-45,0.375,0.23939125,0.27929688
11,10,-30,0,0.0161895,0.013671875
11,11,-15,0.1875,0.38359075,0.37109375
11,12,0,0.875,1.17474275,1.1347656
11,13,15,0.1875,0.3836535,0.36914062
11,14,30,0,0.0154365,0.01171875
11,15,45,0.375,0.23989325,0.28515625
11,16,60,1.25,0.89989775,1.140625
11,17,75,2.15625,1.59855625,2.1308594
11,18,90,2.625,1.88469625,2.6054688
11,19,105,2.21875,1.54157925,2.0878906
11,20,120,1.34375,0.86274975,1.1171875
11,21,135,0.46875,0.235438,0.31054688
11,22,150,0,0.00332575,0.001953125
11,23,165,0.125,0.3171385,0.3125
11,24,180,0.75,1.0786725,1.0585938
12,1,-165,4.375,5.28675025,5.745117
12,2,-150,1.96875,3.40676025,3.9794922
12,3,-135,0.9375,2.28692375,2.6640625
12,4,-120,0.25,1.38796725,1.2802734
12,5,-105,0,0.52314675,0.5917969
