scan,mm_energy,qm_relative_energy,mm_relative_energy
-170,117.77245,8.751,8.86866400000001
-160,118.4627,9.276,9.558914000000001
-150,119.42489,10.102,10.521104000000008
-140,120.5482,11.156,11.644413999999998
-130,121.68857,12.352,12.784784000000002
-120,122.703156,13.603,13.79937000000001
-110,123.42368,14.75,14.519894000000008
-100,123.67864,15.463,14.774854000000005
-90,123.53802,14.989,14.634234000000006
-80,122.33451,13.101,13.430723999999998
-70,120.206024,10.573,11.302238000000003
-60,117.82985,7.963,8.926063999999997
-50,115.62698,5.564,6.7231940000000066
-40,113.437546,3.555,4.533760000000001
-30,111.593475,1.963,2.6896890000000013
-20,110.0274,0.837,1.1236140000000034
-10,109.14754,0.191,0.2437540000000098
0,108.903786,0,0
10,109.14756,0.191,0.24377400000000193
20,110.026566,0.835,1.1227800000000059
30,111.59286,1.965,2.689074000000005
40,113.436745,3.553,4.532959000000005
50,115.628975,5.57,6.725189
60,117.83034,7.963,8.92655400000001
70,120.2055,10.573,11.301714000000004
80,122.33369,13.101,13.429904000000008
90,123.542656,14.993,14.638869999999997
100,123.67911,15.463,14.775323999999998
110,123.42535,14.75,14.521563999999998
120,122.70171,13.603,13.797924000000009
130,121.68884,12.354,12.785054000000002
140,120.54814,11.156,11.644354000000007
150,119.42699,10.1,10.523204000000007
160,118.461914,9.276,9.558127999999996
170,117.77279,8.753,8.869004000000004
180,117.552925,8.58,8.649139000000005
-170,26.419786,5.63,8.248110999999998
-160,20.247028,4.047,2.075353
-150,19.391848,3.304,1.220172999999999
-140,19.323206,2.802,1.1515309999999985
-130,18.173056,2.452,0.0013809999999985223
-120,20.849165,2.152,2.677489999999999
-110,19.531054,1.112,1.3593790000000006
-100,18.74414,0.338,0.5724650000000011
-90,18.491156,0,0.3194809999999997
-80,18.89037,0.17,0.7186950000000003
-70,19.88719,0.893,1.715515
-60,21.686398,2.027,3.514723
-50,18.588968,2.537,0.4172930000000008
-40,19.068935,2.952,0.8972599999999993
-30,19.295582,3.557,1.123906999999999
