torsion,smiles,resff,wb97m,mace,esp,openff
-170,CCCC(F)F,0.421875,0.322413863,0.530852058,0.6537815,0.5375935
-160,CCCC(F)F,1.2294922,1.047578205,1.258282568,1.918319,1.3423391
-150,CCCC(F)F,2.2524414,2.018768094,2.20032097,3.472324,2.3256675
-140,CCCC(F)F,3.253418,2.959552165,3.113839753,4.920007,3.2546295
-130,CCCC(F)F,3.9882812,3.654849785,3.758200193,5.92238,3.8869315
-120,CCCC(F)F,4.2719727,3.916674333,3.973650504,6.308544,4.0467155
-110,CCCC(F)F,4.0595703,3.688496922,3.701259504,6.036098,3.6810618
-100,CCCC(F)F,3.409668,3.046282733,2.989142651,5.138545,2.900589
-90,CCCC(F)F,2.4453125,2.148546475,2.019277315,3.787111,1.9134525
-80,CCCC(F)F,1.4414062,1.248135202,1.041676954,2.312754,0.9593285
-70,CCCC(F)F,0.64697266,0.586158117,0.309183739,1.12788,0.266736
-60,CCCC(F)F,0.2685547,0.277366241,0,0.558172,0
-50,CCCC(F)F,0.5234375,0.494855992,0.198398986,0.748672,0.2854295
-40,CCCC(F)F,1.265625,1.093116032,0.847936438,1.579261,1.0012102
-30,CCCC(F)F,2.2519531,1.963508202,1.787149859,2.7339235,1.9735479
-20,CCCC(F)F,3.2509766,2.882203295,2.779480388,3.837243,2.9519475
-10,CCCC(F)F,3.975586,3.59439065,3.573917186,4.598822,3.7083685
0,CCCC(F)F,4.2695312,3.910283548,3.958342303,4.906594,4.0446895
10,CCCC(F)F,4.0859375,3.740504069,3.847542411,4.702466,3.8367685
20,CCCC(F)F,3.446289,3.120094771,3.287808387,4.037256,3.196775
30,CCCC(F)F,2.4975586,2.221930924,2.417795963,2.984462,2.2864771
40,CCCC(F)F,1.4570312,1.241631713,1.462201866,1.777907,1.3399758
50,CCCC(F)F,0.5888672,0.448752701,0.6693076,0.743151,0.5637641
60,CCCC(F)F,0.049804688,0.033184551,0.225873772,0.18249,0.1265105
70,CCCC(F)F,0.05517578,0.06623173,0.250956237,0.303668,0.1276822
80,CCCC(F)F,0.64941406,0.530467379,0.740329103,1.035789,0.6024525
90,CCCC(F)F,1.5454102,1.253585656,1.526554354,2.102125,1.3463235
100,CCCC(F)F,2.4648438,2.026744946,2.355013324,3.0973125,2.157929
110,CCCC(F)F,3.1308594,2.634308051,2.979656743,3.710954,2.7876282
120,CCCC(F)F,3.4013672,2.866085814,3.231651018,3.857187,3.01862
130,CCCC(F)F,3.2260742,2.699579343,3.058266209,3.5474525,2.7827175
140,CCCC(F)F,2.6396484,2.154010419,2.495139204,2.844104,2.1498671
150,CCCC(F)F,1.7504883,1.397218724,1.689121071,1.842856,1.3381505
160,CCCC(F)F,0.83154297,0.658394402,0.878516111,0.802151,0.591166
170,CCCC(F)F,0.14501953,0.133880053,0.319273762,0.086416,0.12707
180,CCCC(F)F,0,0,0.189163705,0,0.0952449
