torsion,smiles,resff,wb97m,mace,esp,openff
-170,Cn1ccnc1c2ccccn2,0.091796875,0.084002707,0.094931284,0.35188,0.218207
-160,Cn1ccnc1c2ccccn2,0.30566406,0.275080224,0.285051888,1.0743,0.655562
-150,Cn1ccnc1c2ccccn2,0.71972656,0.668092517,0.668414359,1.973814,1.356387
-140,Cn1ccnc1c2ccccn2,1.4179688,1.345739089,1.343043594,2.906774,2.401984
-130,Cn1ccnc1c2ccccn2,2.383789,2.294348286,2.285544893,3.85919,3.77477
-120,Cn1ccnc1c2ccccn2,3.5810547,3.447451768,3.3887293,5.0168,5.37437
-110,Cn1ccnc1c2ccccn2,4.8564453,4.684711701,4.470291229,6.331465,7.040804
-100,Cn1ccnc1c2ccccn2,5.9804688,5.820173119,5.356823051,7.6969,8.549693
-90,Cn1ccnc1c2ccccn2,6.6132812,6.658114344,5.963027642,8.710936,9.647185
-80,Cn1ccnc1c2ccccn2,6.767578,7.071585168,6.311475842,9.011946,10.28793
-70,Cn1ccnc1c2ccccn2,6.770508,7.106831157,6.156442483,8.65315,10.647128
-60,Cn1ccnc1c2ccccn2,6.4902344,6.985109895,6.129467967,8.49113,10.805007
-50,Cn1ccnc1c2ccccn2,6.2197266,6.929226143,6.132348258,8.67377,11.035754
-40,Cn1ccnc1c2ccccn2,6.2685547,7.122903879,6.338510469,9.193846,11.47503
-30,Cn1ccnc1c2ccccn2,6.7929688,7.661108471,6.866411953,9.78005,12.15933
-20,Cn1ccnc1c2ccccn2,7.6396484,8.528071657,7.732363475,10.556906,13.16603
-10,Cn1ccnc1c2ccccn2,8.541992,9.579259442,8.795769898,11.34525,14.357596
0,Cn1ccnc1c2ccccn2,8.755859,10.12960318,9.369675831,11.56024,15.08711
10,Cn1ccnc1c2ccccn2,8.536133,9.579692157,8.79604602,11.34477,14.3602
20,Cn1ccnc1c2ccccn2,7.6347656,8.525621072,7.729803989,10.5561,13.17067
30,Cn1ccnc1c2ccccn2,6.7871094,7.658396176,6.863767073,9.77976,12.162753
40,Cn1ccnc1c2ccccn2,6.274414,7.123462005,6.338828499,9.19305,11.47372
50,Cn1ccnc1c2ccccn2,6.220703,6.929456816,6.13302241,8.67583,11.040427
60,Cn1ccnc1c2ccccn2,6.491211,6.983106636,6.127569576,8.49184,10.80349
70,Cn1ccnc1c2ccccn2,6.7685547,7.1049296,6.154709896,8.65187,10.64648
80,Cn1ccnc1c2ccccn2,6.7558594,7.066877319,6.307155524,9.01113,10.28857
90,Cn1ccnc1c2ccccn2,6.6210938,6.659117951,5.964043487,8.71129,9.64441
100,Cn1ccnc1c2ccccn2,5.979492,5.820176737,5.356847483,7.69602,8.54942
110,Cn1ccnc1c2ccccn2,4.8535156,4.681669149,4.467632854,6.33106,7.04234
120,Cn1ccnc1c2ccccn2,3.5820312,3.446333675,3.387813415,5.01553,5.372336
130,Cn1ccnc1c2ccccn2,2.3886719,2.299149759,2.290399609,3.858335,3.767768
140,Cn1ccnc1c2ccccn2,1.4150391,1.344432074,1.34167115,2.90612,2.398787
150,Cn1ccnc1c2ccccn2,0.71972656,0.665574751,0.665682647,1.97499,1.356253
160,Cn1ccnc1c2ccccn2,0.31152344,0.273196925,0.283262934,1.075224,0.651774
170,Cn1ccnc1c2ccccn2,0.09765625,0.085972867,0.096746686,0.3535,0.220603
180,Cn1ccnc1c2ccccn2,0,0,0,0,0
