torsion,smiles,resff,qm,mace,esp,openff,resff_new,mace_new,esp_new,openff_new
-170,c1ccc(cc1)c2[nH]ccn2,0.1015625,0,0.18172784,0.58456,0.410338,0,0,0,0
-160,c1ccc(cc1)c2[nH]ccn2,0.002929688,0.035167452,0.155650471,0.941376,0.690987,0.032226562,0.126897109,0.327721,0.342564
-150,c1ccc(cc1)c2[nH]ccn2,0.14355469,0.245104995,0.327383544,1.536514,1.196997,0.23339844,0.407921014,0.819351,0.95957
-140,c1ccc(cc1)c2[nH]ccn2,0.57421875,0.678572165,0.737041622,2.334946,1.966994,0.6582031,0.865356684,1.407952,1.854651
-130,c1ccc(cc1)c2[nH]ccn2,1.2470703,1.308999458,1.334554397,3.291214,2.963329,1.2597656,1.453407892,2.072366,2.979677
-120,c1ccc(cc1)c2[nH]ccn2,2.0703125,2.07978166,2.015058962,4.34333,4.081952,1.9677734,2.075371563,2.797606,4.243754
-110,c1ccc(cc1)c2[nH]ccn2,2.7998047,2.856357307,2.630545976,5.365814,5.159212,2.6396484,2.593633907,3.51799,5.442334
-100,c1ccc(cc1)c2[nH]ccn2,3.319336,3.438956773,3.048835572,6.20277,5.970669,3.0791016,2.916857339,4.048176,6.299431
-90,c1ccc(cc1)c2[nH]ccn2,3.4980469,3.65662378,3.197068971,6.53062,6.285422,3.2167969,3.014817307,4.166001,6.63477
-80,c1ccc(cc1)c2[nH]ccn2,3.3046875,3.438206013,3.080849691,6.10985,5.973722,3.0859375,2.905850948,3.838186,6.332945
-70,c1ccc(cc1)c2[nH]ccn2,2.772461,2.878628964,2.644537532,5.19383,5.143614,2.6904297,2.614072703,3.251406,5.481287
-60,c1ccc(cc1)c2[nH]ccn2,2.0576172,2.122051573,2.03181604,4.09741,4.045811,2.0488281,2.113695954,2.609741,4.292957
-50,c1ccc(cc1)c2[nH]ccn2,1.2373047,1.352253259,1.343312347,2.961815,2.90357,1.3408203,1.492188245,2.011551,3.027714
-40,c1ccc(cc1)c2[nH]ccn2,0.5576172,0.686931563,0.736038682,1.90855,1.911436,0.68359375,0.871593645,1.452706,1.893904
-30,c1ccc(cc1)c2[nH]ccn2,0.1328125,0.252973905,0.321181494,1.06082,1.16934,0.24707031,0.418915437,0.956176,1.009396
-20,c1ccc(cc1)c2[nH]ccn2,0.024414062,0.115764531,0.17678074,0.52998,0.762358,0.11425781,0.219801806,0.617501,0.479397
-10,c1ccc(cc1)c2[nH]ccn2,0.21484375,0.251068774,0.286627538,0.3126,0.645409,0.25976562,0.281411758,0.500916,0.288983
0,c1ccc(cc1)c2[nH]ccn2,0.37890625,0.369194931,0.380485356,0.08252,0.538149,0.40722656,0.336637448,0.43631,0.173067
10,c1ccc(cc1)c2[nH]ccn2,0.21191406,0.251068772,0.286319067,0.31262,0.647585,0.25976562,0.281411758,0.500916,0.288987
20,c1ccc(cc1)c2[nH]ccn2,0.029296875,0.115683712,0.181223,0.5324,0.763958,0.11425781,0.219801806,0.617506,0.479397
30,c1ccc(cc1)c2[nH]ccn2,0.13476562,0.252973904,0.320376458,1.06207,1.171736,0.24707031,0.418915437,0.956186,1.009397
40,c1ccc(cc1)c2[nH]ccn2,0.5605469,0.686931565,0.738066671,1.90981,1.91453,0.68359375,0.871593645,1.452706,1.893906
50,c1ccc(cc1)c2[nH]ccn2,1.2382812,1.352109712,1.344293991,2.96069,2.903008,1.3408203,1.492188245,2.011551,3.027714
60,c1ccc(cc1)c2[nH]ccn2,2.0625,2.122051574,2.034900532,4.0991,4.045246,2.0488281,2.113695954,2.609741,4.292957
70,c1ccc(cc1)c2[nH]ccn2,2.7695312,2.878628964,2.642717026,5.19449,5.139578,2.6894531,2.614072703,3.251406,5.481287
80,c1ccc(cc1)c2[nH]ccn2,3.2998047,3.438188265,3.07758112,6.10987,5.971461,3.0859375,2.905850948,3.838186,6.332949
90,c1ccc(cc1)c2[nH]ccn2,3.493164,3.65662378,3.193208188,6.52874,6.282432,3.2167969,3.014817307,4.166001,6.634766
100,c1ccc(cc1)c2[nH]ccn2,3.3251953,3.438956773,3.052223292,6.20147,5.972402,3.0800781,2.916857339,4.048176,6.299431
110,c1ccc(cc1)c2[nH]ccn2,2.8027344,2.856282813,2.631703117,5.36602,5.158932,2.640625,2.593633907,3.51799,5.442334
120,c1ccc(cc1)c2[nH]ccn2,2.0683594,2.07973454,2.014869172,4.34414,4.079848,1.9677734,2.075371563,2.797606,4.24375
130,c1ccc(cc1)c2[nH]ccn2,1.2529297,1.309061531,1.33593029,3.29201,2.964113,1.2597656,1.453407892,2.072366,2.979674
140,c1ccc(cc1)c2[nH]ccn2,0.5722656,0.67848977,0.736905626,2.33526,1.967085,0.6582031,0.865356684,1.407952,1.854651
150,c1ccc(cc1)c2[nH]ccn2,0.14648438,0.245204174,0.330530553,1.536934,1.195602,0.23339844,0.407921014,0.819351,0.95957
160,c1ccc(cc1)c2[nH]ccn2,0,0.035167737,0.153490321,0.94083,0.688971,0.032226562,0.126897109,0.327721,0.342558
170,c1ccc(cc1)c2[nH]ccn2,0.11035156,1.43E-09,0.183037868,0.58578,0.410923,0,0,0,0
180,c1ccc(cc1)c2[nH]ccn2,0.000976563,0.258188959,0,0,0,0.2890625,0.213498111,0.110916,0.004007
