torsion,smiles,resff,wb97m,mace,esp,openff
-170,c1ccc(cc1)c2cccs2,0.6640625,0.60589281,0.322586954,0.278844,0.132723
-160,c1ccc(cc1)c2cccs2,0.24121094,0.225315345,0.088656783,0.09403,0.195023
-150,c1ccc(cc1)c2cccs2,0,0.001982847,0,0.1051,0.53566
-140,c1ccc(cc1)c2cccs2,0.021484375,0.024849339,0.122673073,0.36057,1.18868
-130,c1ccc(cc1)c2cccs2,0.3232422,0.319050892,0.443806272,0.842756,2.14278
-120,c1ccc(cc1)c2cccs2,0.79003906,0.801583127,0.835833478,1.45884,3.312851
-110,c1ccc(cc1)c2cccs2,1.2636719,1.359588077,1.171833485,2.08777,4.445067
-100,c1ccc(cc1)c2cccs2,1.6152344,1.806993364,1.386757348,2.60941,5.274433
-90,c1ccc(cc1)c2cccs2,1.6835938,1.966523358,1.435868791,2.81851,5.620245
-80,c1ccc(cc1)c2cccs2,1.5878906,1.803703278,1.392200486,2.62567,5.320053
-70,c1ccc(cc1)c2cccs2,1.2734375,1.385547463,1.199311621,2.08433,4.512093
-60,c1ccc(cc1)c2cccs2,0.82714844,0.842299287,0.873673882,1.37623,3.360434
-50,c1ccc(cc1)c2cccs2,0.33984375,0.3427844,0.466880913,0.68474,2.155659
-40,c1ccc(cc1)c2cccs2,0.034179688,0.029636987,0.129376902,0.17903,1.187784
-30,c1ccc(cc1)c2cccs2,0.01171875,9.62E-05,0.012816397,0,0.592228
-20,c1ccc(cc1)c2cccs2,0.34179688,0.292329688,0.19451893,0.17249,0.410647
-10,c1ccc(cc1)c2cccs2,0.8876953,0.784694549,0.562807562,0.527456,0.459177
0,c1ccc(cc1)c2cccs2,1.328125,1.170551993,0.841388583,0.76242,0.489227
10,c1ccc(cc1)c2cccs2,0.8857422,0.784551085,0.562807562,0.527456,0.459177
20,c1ccc(cc1)c2cccs2,0.34179688,0.292402276,0.19451893,0.17249,0.410648
30,c1ccc(cc1)c2cccs2,0.01171875,0,0.012816397,0,0.59223
40,c1ccc(cc1)c2cccs2,0.032226562,0.029636985,0.129376902,0.17903,1.187784
50,c1ccc(cc1)c2cccs2,0.33984375,0.342794668,0.466880913,0.68474,2.155659
60,c1ccc(cc1)c2cccs2,0.82714844,0.842299289,0.873673882,1.37623,3.360438
70,c1ccc(cc1)c2cccs2,1.2734375,1.385574872,1.199311621,2.08433,4.512095
80,c1ccc(cc1)c2cccs2,1.5869141,1.803703279,1.392200486,2.62567,5.320053
90,c1ccc(cc1)c2cccs2,1.6835938,1.966569154,1.435868791,2.81851,5.620245
100,c1ccc(cc1)c2cccs2,1.6162109,1.806983898,1.386757348,2.60941,5.274433
110,c1ccc(cc1)c2cccs2,1.2636719,1.359588077,1.171833485,2.08777,4.445063
120,c1ccc(cc1)c2cccs2,0.79003906,0.801618419,0.835833478,1.45884,3.31285
130,c1ccc(cc1)c2cccs2,0.3232422,0.318945724,0.443806272,0.842756,2.142779
140,c1ccc(cc1)c2cccs2,0.021484375,0.024772902,0.122673073,0.36057,1.188677
150,c1ccc(cc1)c2cccs2,0,0.001982725,0,0.10509,0.535658
160,c1ccc(cc1)c2cccs2,0.24121094,0.22519048,0.088656783,0.09403,0.19502
170,c1ccc(cc1)c2cccs2,0.6640625,0.605789755,0.322586954,0.278844,0.132723
180,c1ccc(cc1)c2cccs2,1.1162109,0.94988,0.589121014,0.36236,0
