torsion,smiles,resff,wb97m,mace,esp,openff
-170,c1ccc(cc1)c2ncco2,0.16210938,0.123500918,0.131650152,0.53699,0.257441
-160,c1ccc(cc1)c2ncco2,0.53222656,0.400596736,0.426768144,1.19963,0.812275
-150,c1ccc(cc1)c2ncco2,1.1455078,0.903340684,0.938221681,2.11754,1.701776
-140,c1ccc(cc1)c2ncco2,1.96875,1.627976944,1.649195518,3.15423,2.866827
-130,c1ccc(cc1)c2ncco2,2.9199219,2.516052346,2.482569867,4.200886,4.25061
-120,c1ccc(cc1)c2ncco2,3.9121094,3.498427497,3.332500638,5.18646,5.729794
-110,c1ccc(cc1)c2ncco2,4.8222656,4.424131328,4.039982832,6.03294,7.121761
-100,c1ccc(cc1)c2ncco2,5.4882812,5.092254725,4.479734561,6.61205,8.162406
-90,c1ccc(cc1)c2ncco2,5.7529297,5.346136924,4.634627932,6.77288,8.586664
-80,c1ccc(cc1)c2ncco2,5.5410156,5.108849784,4.497259297,6.47925,8.242672
-70,c1ccc(cc1)c2ncco2,4.8808594,4.469238514,4.057757558,5.89195,7.248136
-60,c1ccc(cc1)c2ncco2,3.9560547,3.57216992,3.364835047,5.150036,5.88467
-50,c1ccc(cc1)c2ncco2,2.9628906,2.605736238,2.532408738,4.25387,4.36433
-40,c1ccc(cc1)c2ncco2,2.0078125,1.695475503,1.686835977,3.23166,2.93729
-30,c1ccc(cc1)c2ncco2,1.1757812,0.94673519,0.967200373,2.14343,1.712982
-20,c1ccc(cc1)c2ncco2,0.5517578,0.418017126,0.439966796,1.142475,0.825441
-10,c1ccc(cc1)c2ncco2,0.21191406,0.164710365,0.176954383,0.473385,0.355379
0,c1ccc(cc1)c2ncco2,0,0,0,0,0
10,c1ccc(cc1)c2ncco2,0.21191406,0.164718301,0.176954383,0.473385,0.355379
20,c1ccc(cc1)c2ncco2,0.55078125,0.418056263,0.439966796,1.14247,0.825441
30,c1ccc(cc1)c2ncco2,1.1757812,0.946902071,0.967200373,2.14343,1.712982
40,c1ccc(cc1)c2ncco2,2.0078125,1.695475504,1.686835977,3.23166,2.93729
50,c1ccc(cc1)c2ncco2,2.9628906,2.605736236,2.532408738,4.25387,4.36433
60,c1ccc(cc1)c2ncco2,3.9570312,3.572212032,3.364835047,5.150036,5.884676
70,c1ccc(cc1)c2ncco2,4.8808594,4.469238513,4.057757558,5.89195,7.248136
80,c1ccc(cc1)c2ncco2,5.5410156,5.108849784,4.497259297,6.47925,8.242672
90,c1ccc(cc1)c2ncco2,5.7529297,5.346054891,4.634627932,6.77288,8.586664
100,c1ccc(cc1)c2ncco2,5.4882812,5.092254725,4.479734561,6.61205,8.162406
110,c1ccc(cc1)c2ncco2,4.8222656,4.424131328,4.039982832,6.03294,7.121761
120,c1ccc(cc1)c2ncco2,3.9121094,3.498427497,3.332500638,5.18646,5.72979
130,c1ccc(cc1)c2ncco2,2.9199219,2.516052346,2.482569867,4.20088,4.250606
140,c1ccc(cc1)c2ncco2,1.96875,1.627951672,1.649195518,3.15423,2.866827
150,c1ccc(cc1)c2ncco2,1.1494141,0.903429243,0.938221681,2.11754,1.701776
160,c1ccc(cc1)c2ncco2,0.53222656,0.400668521,0.426768144,1.19963,0.812271
170,c1ccc(cc1)c2ncco2,0.16210938,0.123500137,0.131650152,0.53699,0.257441
180,c1ccc(cc1)c2ncco2,0.002929688,0.001941989,0.001859174,0.22276,0.002295
