torsion,smiles,resff,wb97m,mace,esp,openff
-170,c1ccnc(c1)c2nccs2,0.20898438,0.196519547,0.20231329,0.4262250000000023,0.22737100000000154
-160,c1ccnc(c1)c2nccs2,0.78222656,0.71273951,0.733978376,1.416450999999995,0.8009740000000001
-150,c1ccnc(c1)c2nccs2,1.6855469,1.51963629,1.572626917,2.605294999999998,1.7119870000000006
-140,c1ccnc(c1)c2nccs2,2.868164,2.564797155,2.661203624,3.694494999999989,2.933415
-130,c1ccnc(c1)c2nccs2,4.1992188,3.750798085,3.865998657,4.550364999999999,4.416187000000001
-120,c1ccnc(c1)c2nccs2,5.533203,4.966765356,5.025010217,5.20564499999999,6.0232600000000005
-110,c1ccnc(c1)c2nccs2,6.6728516,6.053504691,5.959532374,5.826164999999989,7.625709999999998
-100,c1ccnc(c1)c2nccs2,7.510742,6.903360128,6.620136734,6.5477909999999895,9.017651
-90,c1ccnc(c1)c2nccs2,7.970703,7.389906892,6.983504225,7.22892499999999,9.997677000000003
-80,c1ccnc(c1)c2nccs2,8.082031,7.486371096,7.085760475,7.562725,10.390189999999997
-70,c1ccnc(c1)c2nccs2,7.8964844,7.266969492,6.984578223,7.626334999999997,10.255035999999997
-60,c1ccnc(c1)c2nccs2,7.544922,6.890371535,6.713727433,7.619374999999991,9.813496
-50,c1ccnc(c1)c2nccs2,7.15625,6.515360226,6.369368203,7.622675000000001,9.301338000000001
-40,c1ccnc(c1)c2nccs2,6.875,6.265271505,6.077430552,7.587265000000002,8.844403
-30,c1ccnc(c1)c2nccs2,6.767578,6.203912112,5.910153305,7.4530949999999905,8.488864999999997
-20,c1ccnc(c1)c2nccs2,6.8291016,6.324096119,5.878107187,7.214404999999999,8.264007999999997
-10,c1ccnc(c1)c2nccs2,6.919922,6.500376494,5.903911786,6.834044999999989,8.077530000000003
0,c1ccnc(c1)c2nccs2,6.651367,6.372537362,5.662295391,6.149594999999991,7.720553000000002
10,c1ccnc(c1)c2nccs2,6.919922,6.500376492,5.903911786,6.834044999999989,8.077530000000003
20,c1ccnc(c1)c2nccs2,6.8271484,6.324111058,5.878107187,7.214404999999999,8.264007999999997
30,c1ccnc(c1)c2nccs2,6.767578,6.203912112,5.910153305,7.4530949999999905,8.488872999999998
40,c1ccnc(c1)c2nccs2,6.875,6.26527124,6.077430552,7.587265000000002,8.844403
50,c1ccnc(c1)c2nccs2,7.15625,6.515360227,6.369368203,7.622675000000001,9.301338000000001
60,c1ccnc(c1)c2nccs2,7.544922,6.890371534,6.713727433,7.619374999999991,9.813496
70,c1ccnc(c1)c2nccs2,7.8964844,7.266969492,6.984578223,7.626334999999997,10.255035999999997
80,c1ccnc(c1)c2nccs2,8.082031,7.486386366,7.085760475,7.562725,10.390183
90,c1ccnc(c1)c2nccs2,7.970703,7.389906894,6.983504225,7.22892499999999,9.997677000000003
100,c1ccnc(c1)c2nccs2,7.5097656,6.903360128,6.620136734,6.5477909999999895,9.017651
110,c1ccnc(c1)c2nccs2,6.6728516,6.053540831,5.959532374,5.826164999999989,7.625709999999998
120,c1ccnc(c1)c2nccs2,5.533203,4.966793124,5.025010217,5.20564499999999,6.0232600000000005
130,c1ccnc(c1)c2nccs2,4.1992188,3.750798084,3.865998657,4.550364999999999,4.416181999999999
140,c1ccnc(c1)c2nccs2,2.868164,2.564797155,2.661203624,3.694494999999989,2.933415
150,c1ccnc(c1)c2nccs2,1.6865234,1.51963629,1.572626917,2.605294999999998,1.7119870000000006
160,c1ccnc(c1)c2nccs2,0.78222656,0.712836733,0.733978376,1.416450999999995,0.8009699999999995
170,c1ccnc(c1)c2nccs2,0.2109375,0.196519546,0.20231329,0.4262250000000023,0.22737499999999855
180,c1ccnc(c1)c2nccs2,0,0,0,0,0
