smile,scan,Reference Energy,MACE_relative_energy,wb97m_relative_energy
CCCC(F)(F)F,-170,0.26,0.245931808,0.2208799999773703
CCCC(F)(F)F,-160,0.949,0.917065398,0.8718484999960197
CCCC(F)(F)F,-150,1.903,1.839398203,1.7490307499785729
CCCC(F)(F)F,-140,2.885,2.756881281,2.6089567499690247
CCCC(F)(F)F,-130,3.648,3.428558442,3.235264499971464
CCCC(F)(F)F,-120,3.928,3.665532902,3.450120499985445
CCCC(F)(F)F,-110,3.622,3.407813152,3.2098507499999585
CCCC(F)(F)F,-100,2.857,2.727968242,2.566474999976407
CCCC(F)(F)F,-90,1.869,1.806517608,1.699583749989273
CCCC(F)(F)F,-80,0.927,0.893978619,0.8350142499891433
CCCC(F)(F)F,-70,0.252,0.236439749,0.21046349998940173
CCCC(F)(F)F,-60,0,0,0
CCCC(F)(F)F,-50,0.251,0.243193091,0.217867999977841
CCCC(F)(F)F,-40,0.929,0.905285636,0.8556589999940911
CCCC(F)(F)F,-30,1.872,1.815150942,1.7219854999969186
CCCC(F)(F)F,-20,2.856,2.73319312,2.580970249989747
CCCC(F)(F)F,-10,3.633,3.416197394,3.2201417499953777
CCCC(F)(F)F,0,3.933,3.667059302,3.4516892499814844
CCCC(F)(F)F,10,3.631,3.415718428,3.2197024999679513
CCCC(F)(F)F,20,2.86,2.734925397,2.5826017499998954
CCCC(F)(F)F,30,1.872,1.815586835,1.7224247499886758
CCCC(F)(F)F,40,0.929,0.904984963,0.855282499980774
CCCC(F)(F)F,50,0.251,0.242876708,0.21761699999274242
CCCC(F)(F)F,60,0.002,0.00035516,0.0003764999776478817
CCCC(F)(F)F,70,0.252,0.235854746,0.20989874996942604
CCCC(F)(F)F,80,0.929,0.894619259,0.835704499965999
CCCC(F)(F)F,90,1.869,1.806786577,1.6997092499818223
CCCC(F)(F)F,100,2.853,2.725426157,2.5640277499968533
CCCC(F)(F)F,110,3.624,3.408234405,3.2102899999917156
CCCC(F)(F)F,120,3.93,3.665792475,3.4504969999987622
CCCC(F)(F)F,130,3.646,3.427875177,3.2346369999730484
CCCC(F)(F)F,140,2.885,2.757432049,2.609458749974891
CCCC(F)(F)F,150,1.901,1.838894944,1.7485287499727065
CCCC(F)(F)F,160,0.951,0.918208542,0.8730407499787418
CCCC(F)(F)F,170,0.26,0.245669822,0.2206289999922717
CCCC(F)(F)F,180,0.003,0.001413757,0.0015059999819300174
CCc1ccccc1,-170,1.156,0.84445755,0.7882655000001648
CCc1ccccc1,-160,1.217,0.854588512,0.8361437499934254
CCc1ccccc1,-150,1.228,0.838626316,0.8766802499766868
CCc1ccccc1,-140,1.091,0.693316144,0.795230749996847
CCc1ccccc1,-130,0.796,0.425752087,0.5718407499901446
CCc1ccccc1,-120,0.477,0.186801592,0.32146824998022794
CCc1ccccc1,-110,0.227,0.055689601,0.1305199999914919
CCc1ccccc1,-100,0.07,0.014006927,0.03344574999402994
CCc1ccccc1,-90,0,0,0
CCc1ccccc1,-80,0.032,0.010783991,0.0217742499735607
CCc1ccccc1,-70,0.186,0.071258008,0.1305827499699319
CCc1ccccc1,-60,0.464,0.216479095,0.3503332499786893
CCc1ccccc1,-50,0.805,0.45343773,0.6039059999947938
CCc1ccccc1,-40,1.072,0.674255443,0.7669932499968013
CCc1ccccc1,-30,1.188,0.79429686,0.8205817499899126
CCc1ccccc1,-20,1.169,0.810751826,0.7847514999947691
CCc1ccccc1,-10,1.103,0.789744024,0.7285274999797764
CCc1ccccc1,0,1.065,0.77959609,0.7005410000004986
CCc1ccccc1,10,1.103,0.789744024,0.7285274999797764
CCc1ccccc1,20,1.169,0.810751826,0.7846259999665506
CCc1ccccc1,30,1.188,0.79429686,0.8205817499899126
CCc1ccccc1,40,1.072,0.674255443,0.7670559999752413
CCc1ccccc1,50,0.805,0.45343773,0.6039687499732338
CCc1ccccc1,60,0.464,0.216479095,0.35020774998614
CCc1ccccc1,70,0.186,0.071258008,0.1305199999914919
CCc1ccccc1,80,0.032,0.010783991,0.021648749981011406
CCc1ccccc1,90,0,0,0.0002509999850985878
CCc1ccccc1,100,0.07,0.014006927,0.03338299997992067
CCc1ccccc1,110,0.227,0.055689601,0.13064549998404118
CCc1ccccc1,120,0.477,0.186801592,0.32159374997277723
CCc1ccccc1,130,0.796,0.425752087,0.5718407499901446
CCc1ccccc1,140,1.091,0.693316144,0.795230749996847
CCc1ccccc1,150,1.228,0.838626316,0.8767429999907961
CCc1ccccc1,160,1.217,0.854588512,0.8362064999718655
CCc1ccccc1,170,1.156,0.84445755,0.7882027499860556
CCc1ccccc1,180,1.072,0.787323998,0.7081964999740364
CC(=O)Nc1ccco1,-170,5.689,6.140963942,5.697762749967836
