scan,mm_energy,qm_relative_energy,mm_relative_energy
-170.0,52.107048,8.751,7.156180999999997
-160.0,52.61819,9.276,7.667322999999996
-150.0,53.398552,10.102,8.447685
-140.0,54.36906,11.156,9.418192999999995
-130.0,55.38639,12.352,10.435522999999996
-120.0,56.2729,13.603,11.322032999999998
-110.0,56.801678,14.75,11.850811
-100.0,56.800762,15.463,11.849894999999997
-90.0,56.45895,14.989,11.508083
-80.0,55.58769,13.101,10.636823
-70.0,54.172756,10.573,9.221888999999997
-60.0,52.449196,7.963,7.498328999999998
-50.0,50.609695,5.564,5.658828
-40.0,48.815865,3.555,3.864998
-30.0,47.262695,1.963,2.3118279999999984
-20.0,46.053535,0.837,1.1026679999999942
-10.0,45.254265,0.191,0.3033979999999943
0.0,44.950867,0.0,0.0
10.0,45.254574,0.191,0.30370699999999573
20.0,46.05162,0.835,1.1007529999999974
30.0,47.261257,1.965,2.310389999999998
40.0,48.81616,3.553,3.865293000000001
50.0,50.614185,5.57,5.663317999999997
60.0,52.446724,7.963,7.495857000000001
70.0,54.170082,10.573,9.219214999999998
80.0,55.585327,13.101,10.634459999999997
90.0,56.462894,14.993,11.512026999999996
100.0,56.80026,15.463,11.849393
110.0,56.80224,14.75,11.851372999999995
120.0,56.272156,13.603,11.321289
130.0,55.38746,12.354,10.436592999999995
140.0,54.368,11.156,9.417133
150.0,53.400524,10.1,8.449656999999995
160.0,52.61672,9.276,7.6658529999999985
170.0,52.106148,8.753,7.155280999999995
180.0,51.926075,8.58,6.975207999999995
-170.0,-15.692111,5.63,5.606981999999999
-160.0,-18.532877,4.047,2.766216
-150.0,-18.98995,3.304,2.309142999999999
-140.0,-19.358717,2.802,1.9403760000000005
-130.0,-19.626955,2.452,1.6721380000000003
-120.0,-19.586483,2.152,1.712609999999998
-110.0,-20.550686,1.112,0.7484070000000003
-100.0,-21.118513,0.338,0.18057999999999907
-90.0,-21.297585,0.0,0.0015079999999976224
-80.0,-20.984009,0.17,0.3150839999999988
-70.0,-20.189798,0.893,1.1092949999999995
-60.0,-19.139948,2.027,2.1591449999999988
-50.0,-19.648203,2.537,1.6508900000000004
-40.0,-19.435873,2.952,1.8632199999999983
-30.0,-19.094307,3.557,2.2047859999999986
-20.0,-18.627571,4.278,2.6715219999999995
-10.0,-15.734809,5.643,5.564283999999999
0.0,-15.624643,5.701,5.674449999999998
10.0,-15.739024,5.645,5.560068999999999
20.0,-18.629246,4.28,2.6698470000000007
30.0,-19.09414,3.557,2.2049529999999997
40.0,-19.437164,2.952,1.861929
50.0,-19.650326,2.537,1.6487669999999994
60.0,-19.134014,2.025,2.1650789999999986
70.0,-20.18689,0.891,1.112203000000001
