scan,Reference Energy,resff_relative_energy,wb97m_relative_energy
-170,0.057,0,0.0237195
-160,0.34,0.103515625,0.2403325
-150,0.818,0.3798828,0.643815
-140,1.511,0.8935547,1.27577025
-130,2.372,1.578125,2.09290075
-120,3.457,2.3242188,3.0045955
-110,4.519,2.9228516,3.8652745
-100,5.321,3.3613281,4.53211875
-90,5.672,3.4853516,4.8155605
-80,5.472,3.352539,4.63095
-70,4.796,3.0419922,4.084021
-60,3.849,2.5595703,3.312698
-50,2.847,1.9667969,2.482139
-40,1.98,1.3818359,1.748717
-30,1.325,0.87402344,1.1775665
-20,0.949,0.58496094,0.86093
-10,0.877,0.5410156,0.811232
0,0.947,0.59375,0.86751875
10,0.877,0.5410156,0.811232
20,0.949,0.58496094,0.86099275
30,1.325,0.87402344,1.1775665
40,1.98,1.3818359,1.748717
50,2.847,1.9677734,2.482139
60,3.849,2.5585938,3.312698
70,4.796,3.0429688,4.08408375
80,5.472,3.3535156,4.6308245
90,5.672,3.4853516,4.815686
100,5.321,3.3603516,4.532056
110,4.517,2.9228516,3.86533725
120,3.457,2.3242188,3.0045955
130,2.372,1.578125,2.09290075
140,1.511,0.8935547,1.27577025
150,0.818,0.3798828,0.643815
160,0.34,0.103515625,0.24039525
170,0.057,0,0.0237195
180,0,0.028320312,0
-170,0.264,0.234375,0.24114825
-160,1.006,0.8574219,0.89663475
-150,2.2,1.8554688,1.94832475
-140,3.764,3.1689453,3.3276325
-130,5.599,4.6816406,4.90673625
-120,7.556,6.2578125,6.55668475
-110,9.425,7.6621094,8.0755485
-100,10.998,8.760742,9.31304125
-90,11.996,9.446289,10.0991105
-80,12.314,9.748047,10.35626
-70,12.006,9.797852,10.211433
-60,11.371,9.498047,9.8395765
-50,10.762,8.96875,9.44669875
-40,10.322,8.547852,9.16959475
-30,10.124,8.373047,9.09203575
-20,10.168,8.463867,9.231027
-10,10.378,8.696289,9.492569
0,10.392,8.603516,9.42762275
10,10.374,8.689453,9.48271725
20,10.166,8.4609375,9.23071325
30,10.124,8.373047,9.0910945
40,10.324,8.545898,9.1704105
50,10.764,8.967773,9.44795375
60,11.371,9.498047,9.8395765
70,12.004,9.793945,10.2080445
80,12.312,9.744141,10.35481675
90,11.996,9.446289,10.098985
100,10.996,8.763672,9.31002925
110,9.427,7.6572266,8.07699175
120,7.558,6.2617188,6.55919475
130,5.605,4.6933594,4.91087775
140,3.766,3.1738281,3.32844825
150,2.2,1.8544922,1.9493915
160,1.002,0.85058594,0.89512875
170,0.26,0.23144531,0.23738325
180,0,0,0
-170,0.147,0.119140625,0.1469605
-160,0.593,0.49609375,0.58150425
-150,1.366,1.1582031,1.30287825
-140,2.461,2.1030273,2.30173275
-130,3.861,3.3164062,3.54719475
-120,5.51,4.7631836,4.998665
-110,7.315,6.355957,6.556622
-100,9.152,8.055176,8.042291
-90,10.677,9.347168,9.037506
-80,9.809,9.078613,8.85383675
-70,8.066,7.8203125,7.5815805
-60,6.27,6.2773438,6.08543225
-50,4.688,4.7348633,4.67167475
-40,3.516,3.322754,3.47038875
-30,2.591,2.1699219,2.5256875
-20,1.912,1.3149414,1.8351865
-10,1.491,0.75146484,1.400831
0,1.344,0.49951172,1.247721
10,1.491,0.75146484,1.400831
20,1.912,1.3144531,1.8351865
30,2.591,2.1704102,2.5256875
40,3.516,3.322754,3.47038875
50,4.688,4.7353516,4.67167475
60,6.27,6.2773438,6.08543225
70,8.066,7.820801,7.5815805
80,9.809,9.078613,8.8538995
90,10.677,9.347168,9.037506
100,9.152,8.055176,8.042291
110,7.315,6.355957,6.556622
120,5.51,4.765625,4.998665
130,3.861,3.3164062,3.54719475
140,2.461,2.1020508,2.30173275
150,1.366,1.1582031,1.30287825
160,0.593,0.49609375,0.58150425
170,0.147,0.118652344,0.1469605
180,0,0,0
-170,0.152,0.1015625,0.136795
-160,0.123,0.002929688,0.0633775
-150,0.338,0.14355469,0.22081725
-140,0.808,0.57421875,0.648835
-130,1.496,1.2470703,1.29861125
-120,2.374,2.0703125,2.09290075
-110,3.375,2.7998047,2.8846175
-100,4.15,3.319336,3.48231125
-90,4.445,3.4980469,3.71229
-80,4.159,3.3046875,3.51149
-70,3.395,2.772461,2.90463475
-60,2.394,2.0576172,2.11436125
-50,1.506,1.2373047,1.3058275
-40,0.802,0.5576172,0.64400325
-30,0.328,0.1328125,0.21404025
-20,0.145,0.024414062,0.08151225
-10,0.233,0.21484375,0.22771975
0,0.337,0.37890625,0.36489125
10,0.233,0.21191406,0.22784525
20,0.145,0.029296875,0.0862185
30,0.328,0.13476562,0.2134755
40,0.802,0.5605469,0.646576
50,1.506,1.2382812,1.3065805
60,2.396,2.0625,2.1178125
70,3.393,2.7695312,2.90325425
80,4.157,3.2998047,3.50791325
90,4.443,3.493164,3.708776
100,4.152,3.3251953,3.48557425
110,3.377,2.8027344,2.88568425
120,2.374,2.0683594,2.092336
130,1.496,1.2529297,1.30018
140,0.808,0.5722656,0.64864675
150,0.338,0.14648438,0.22395475
160,0.123,0,0.06118125
170,0.152,0.11035156,0.13811275
